index	Ward	Labor Force	Employment	Unemployment	Rate	Month/year
171	1	"61,561"	"58,896"	"2,665"	4.3	Mar-16
172	1	"61,719"	"59,259"	"2,460"	4	Apr-16
173	1	"61,303"	"58,883"	"2,420"	3.9	May-16
174	1	"62,109"	"59,199"	"2,910"	4.7	Jun-16
175	1	"62,440"	"59,601"	"2,839"	4.5	Jul-16
176	1	"61,552"	"58,652"	"2,900"	4.7	Aug-16
177	1	"61,535"	"58,740"	"2,795"	4.5	Sep-16
178	1	"62,090"	"59,455"	"2,635"	4.2	Oct-16
179	1	"62,092"	"59,583"	"2,509"	4	Nov-16
180	1	"61,884"	"59,455"	"2,429"	3.9	Dec-16
181	1	"62,521"	"59,803"	"2,718"	4.3	Jan-17
182	1	"63,035"	"60,060"	"2,975"	4.7	Feb-17
183	1	"62,669"	"59,970"	"2,699"	4.3	Mar-17
184	1	"62,823"	"60,271"	"2,552"	4.1	Apr-17
185	1	"63,224"	"60,620"	"2,604"	4.1	May-17
186	1	"63,772"	"60,704"	"3,068"	4.8	Jun-17
1	2	"44,158"	"42,656"	"1,502"	3.4	Jan-02
2	2	"44,529"	"42,978"	"1,551"	3.5	Feb-02
3	2	"44,529"	"43,115"	"1,414"	3.2	Mar-02
4	2	"44,644"	"43,358"	"1,286"	2.9	Apr-02
5	2	"44,279"	"42,901"	"1,379"	3.1	May-02
6	2	"45,002"	"43,405"	"1,597"	3.5	Jun-02
7	2	"45,869"	"44,336 "	"1,532"	3.3	Jul-02
8	2	"44,936"	"43,471 "	"1,465"	3.3	Aug-02
9	2	"44,377"	"43,031 "	"1,346"	3	Sep-02
10	2	"44,090"	"42,760"	"1,330"	3	Oct-02
11	2	"43,999"	"42,599"	"1,400"	3.2	Nov-02
12	2	"44,004"	"42,565"	"1,439"	3.3	Dec-02
13	2	"43,904"	"42,448"	"1,456"	3.3	Jan-03
14	2	"44,432"	"42,843"	"1,589"	3.6	Feb-03
15	2	"44,592"	"43,177"	"1,416"	3.2	Mar-03
16	2	"44,653"	"43,190"	"1,462"	3.3	Apr-03
17	2	"44,423"	"43,087"	"1,336"	3	May-03
18	2	"45,450"	"43,691"	"1,759"	3.9	Jun-03
19	2	"45,969"	"44,366 "	"1,603"	3.5	Jul-03
20	2	"45,105"	"43,411 "	"1,695"	3.8	Aug-03
21	2	"44,431"	"43,135 "	"1,296"	2.9	Sep-03
22	2	"44,889"	"43,345"	"1,544"	3.4	Oct-03
23	2	"44,603"	"43,117"	"1,486"	3.3	Nov-03
24	2	"44,115"	"42,721"	"1,394"	3.2	Dec-03
25	2	"44,391"	"42,865"	"1,526"	3.4	Jan-04
26	2	"44,955"	"43,423"	"1,532"	3.4	Feb-04
27	2	"44,961"	"43,299"	"1,662"	3.7	Mar-04
28	2	"44,933"	"43,439"	"1,494"	3.3	Apr-04
29	2	"44,607"	"43,071"	"1,535"	3.4	May-04
30	2	"45,380"	"43,656"	"1,723"	3.8	Jun-04
31	2	"46,136"	"44,256 "	"1,880"	4.1	Jul-04
32	2	"45,759"	"44,160 "	"1,599"	3.5	Aug-04
33	2	"45,367"	"43,787 "	"1,580"	3.5	Sep-04
34	2	"45,654"	"44,008"	"1,646"	3.6	Oct-04
35	2	"45,662"	"43,983"	"1,679"	3.7	Nov-04
36	2	"45,823"	"44,101"	"1,722"	3.8	Dec-04
37	2	"45,799"	"44,268"	"1,531"	3.3	Jan-05
38	2	"46,399"	"44,719"	"1,680"	3.6	Feb-05
39	2	"46,397"	"44,852"	"1,545"	3.3	Mar-05
40	2	"46,519"	"45,135"	"1,384"	3	Apr-05
41	2	"46,221"	"44,669"	"1,551"	3.4	May-05
42	2	"46,934"	"45,386"	"1,548"	3.3	Jun-05
43	2	"47,905"	"46,469 "	"1,436"	3	Jul-05
44	2	"47,365"	"45,992 "	"1,373"	2.9	Aug-05
45	2	"46,672"	"45,357 "	"1,315"	2.8	Sep-05
46	2	"46,645"	"45,335"	"1,311"	2.8	Oct-05
47	2	"46,458"	"45,128"	"1,330"	2.9	Nov-05
48	2	"46,614"	"45,299"	"1,315"	2.8	Dec-05
49	2	"46,373"	"45,123"	"1,250"	2.7	Jan-06
50	2	"46,775"	"45,488"	"1,287"	2.8	Feb-06
51	2	"46,673"	"45,425"	"1,248"	2.7	Mar-06
52	2	"46,501"	"45,307"	"1,194"	2.6	Apr-06
53	2	"46,829"	"45,536"	"1,293"	2.8	May-06
54	2	"47,931"	"46,587"	"1,344"	2.8	Jun-06
55	2	"48,442"	"46,987 "	"1,454"	3	Jul-06
56	2	"47,695"	"46,339 "	"1,356"	2.8	Aug-06
57	2	"47,111"	"45,825 "	"1,286"	2.7	Sep-06
58	2	"47,762"	"46,577"	"1,185"	2.5	Oct-06
59	2	"47,604"	"46,381"	"1,223"	2.6	Nov-06
60	2	"47,735"	"46,448"	"1,287"	2.7	Dec-06
61	2	"47,055"	"45,729"	"1,326"	2.8	Jan-07
62	2	"47,505"	"46,269"	"1,236"	2.6	Feb-07
63	2	"47,622"	"46,454"	"1,168"	2.5	Mar-07
64	2	"47,643"	"46,534"	"1,109"	2.3	Apr-07
65	2	"47,493"	"46,318"	"1,175"	2.5	May-07
66	2	"47,798"	"46,495"	"1,303"	2.7	Jun-07
67	2	"48,673"	"47,332 "	"1,341"	2.8	Jul-07
68	2	"48,055"	"46,808 "	"1,247"	2.6	Aug-07
69	2	"47,879"	"46,589 "	"1,290"	2.7	Sep-07
70	2	"48,124"	"46,933"	"1,191"	2.5	Oct-07
71	2	"48,374"	"47,116"	"1,258"	2.6	Nov-07
72	2	"48,195"	"46,946"	"1,249"	2.6	Dec-07
73	2	"48,091"	"46,660"	"1,431"	3	Jan-08
74	2	"48,375"	"47,137"	"1,238"	2.6	Feb-08
75	2	"48,653"	"47,276"	"1,377"	2.8	Mar-08
76	2	"48,691"	"47,552"	"1,139"	2.3	Apr-08
77	2	"48,636"	"47,215"	"1,421"	2.9	May-08
78	2	"49,090"	"47,561"	"1,529"	3.1	Jun-08
79	2	"50,098"	"48,455 "	"1,643"	3.3	Jul-08
80	2	"49,635"	"48,018 "	"1,617"	3.3	Aug-08
81	2	"48,919"	"47,298 "	"1,621"	3.3	Sep-08
82	2	"48,536"	"46,882"	"1,654"	3.4	Oct-08
83	2	"48,311"	"46,524"	"1,787"	3.7	Nov-08
84	2	"48,055"	"46,186"	"1,869"	3.9	Dec-08
85	2	"48,054"	"46,039"	"2,015"	4.2	Jan-09
86	2	"48,220"	"46,121"	"2,099"	4.4	Feb-09
87	2	"47,728"	"45,744"	"1,985"	4.2	Mar-09
88	2	"47,492"	"45,585"	"1,907"	4	Apr-09
89	2	"47,707"	"45,491"	"2,215"	4.6	May-09
90	2	"48,419"	"45,994"	"2,425"	5	Jun-09
91	2	"49,307"	"47,033 "	"2,275"	4.6	Jul-09
92	2	"48,302"	"45,925 "	"2,377"	4.9	Aug-09
93	2	"47,768"	"45,343 "	"2,425"	5.1	Sep-09
94	2	"47,945"	"45,441"	"2,505"	5.2	Oct-09
95	2	"48,171"	"45,767"	"2,404"	5	Nov-09
96	2	"48,154"	"45,703"	"2,451"	5.1	Dec-09
97	2	"52,777"	"50,696"	"2,081"	3.9	Jan-10
98	2	"53,012"	"50,985"	"2,027"	3.8	Feb-10
99	2	"53,310"	"51,347"	"1,963"	3.7	Mar-10
100	2	"53,901"	"52,099"	"1,802"	3.3	Apr-10
101	2	"54,169"	"52,309"	"1,860"	3.4	May-10
102	2	"54,909"	"52,887"	"2,022"	3.7	Jun-10
103	2	"55,478"	"53,453 "	"2,025"	3.7	Jul-10
104	2	"53,923"	"51,972 "	"1,951"	3.6	Aug-10
105	2	"53,730"	"51,786 "	"1,944"	3.6	Sep-10
106	2	"53,855"	"51,907"	"1,948"	3.6	Oct-10
107	2	"53,917"	"51,955"	"1,962"	3.6	Nov-10
108	2	"53,883"	"51,954"	"1,929"	3.6	Dec-10
109	2	"54,072"	"51,990"	"2,082"	3.9	Jan-11
110	2	"54,505"	"52,395"	"2,110"	3.9	Feb-11
111	2	"54,239"	"52,144"	"2,095"	3.9	Mar-11
112	2	"54,249"	"52,231"	"2,018"	3.7	Apr-11
113	2	"53,803"	"51,687"	"2,116"	3.9	May-11
114	2	"54,560"	"52,251"	"2,309"	4.2	Jun-11
115	2	"55,284"	"52,980 "	"2,304"	4.2	Jul-11
116	2	"54,378"	"52,161 "	"2,217"	4.1	Aug-11
117	2	"54,213"	"52,031 "	"2,182"	4	Sep-11
118	2	"54,211"	"52,078"	"2,133"	3.9	
119	2	"54,334"	"52,237"	"2,097"	3.9	Nov-11
120	2	"54,508"	"52,464"	"2,044"	3.7	Dec-11
121	2	"54,740"	"52,600"	"2,140"	3.9	Jan-12
122	2	"55,411"	"53,288"	"2,123"	3.8	Feb-12
123	2	"55,651"	"53,639"	"2,012"	3.6	Mar-12
124	2	"55,938"	"54,088"	"1,850"	3.3	Apr-12
125	2	"56,326"	"54,457"	"1,869"	3.3	May-12
126	2	"57,449"	"55,421"	"2,028"	3.5	Jun-12
127	2	"58,148"	"56,129 "	"2,019"	3.5	Jul-12
128	2	"57,474"	"55,482 "	"1,992"	3.5	Aug-12
129	2	"57,570"	"55,596 "	"1,974"	3.4	Sep-12
130	2	"58,293"	"56,336"	"1,957"	3.4	Oct-12
131	2	"58,475"	"56,533"	"1,942"	3.3	Nov-12
132	2	"58,449"	"56,517"	"1,932"	3.3	Dec-12
133	2	"60,131"	"56,283"	"3,848"	6.4	Jan-13
134	2	"60,562"	"56,667"	"3,895"	6.4	Feb-13
135	2	"60,154"	"56,567"	"3,587"	6	Mar-13
136	2	"60,136"	"56,846"	"3,290"	5.5	Apr-13
137	2	"60,022"	"56,555"	"3,467"	5.8	May-13
138	2	"60,791"	"56,900"	"3,891"	6.4	Jun-13
139	2	"61,097"	"57,392"	"3,705"	6.1	Jul-13
140	2	"59,692"	"56,297"	"3,395"	5.7	Aug-13
141	2	"59,483"	"56,102"	"3,381"	5.7	Sep-13
142	2	"59,711"	"56,298"	"3,413"	5.7	Oct-13
143	2	"59,901"	"56,788"	"3,113"	5.2	Nov-13
144	2	"59,723"	"56,845"	"2,878"	4.8	Dec-13
145	2	"59,675"	"56,398"	"3,277"	5.5	Jan-14
146	2	"60,213"	"56,719"	"3,494"	5.8	Feb-14
147	2	"59,949"	"56,718"	"3,231"	5.4	Mar-14
148	2	"59,916"	"57,066"	"2,850"	4.8	Apr-14
149	2	"60,117"	"57,140"	"2,977"	5	May-14
150	2	"61,312"	"57,906"	"3,406"	5.6	Jun-14
151	2	"61,845"	"58,500"	"3,345"	5.4	Jul-14
152	2	"61,116"	"57,676"	"3,440"	5.6	Aug-14
153	2	"61,395"	"58,027"	"3,368"	5.5	Sep-14
154	2	"61,740"	"58,639"	"3,101"	5	Oct-14
155	2	"61,650"	"58,669"	"2,981"	4.8	Nov-14
156	2	"61,482"	"58,582"	"2,900"	4.7	Dec-14
157	2	"61,946"	"58,633"	"3,313"	5.3	Jan-15
158	2	"62,374"	"58,975"	"3,399"	5.4	Feb-15
159	2	"62,009"	"58,962"	"3,047"	4.9	Mar-15
160	2	"62,085"	"59,271"	"2,814"	4.5	Apr-15
161	2	"61,933"	"59,108"	"2,825"	4.6	May-15
162	2	"62,922"	"59,806"	"3,116"	5	Jun-15
163	2	"63,706"	"60,650"	"3,056"	4.8	Jul-15
164	2	"62,796"	"59,758"	"3,038"	4.8	Aug-15
165	2	"62,589"	"59,635"	"2,954"	4.7	Sep-15
166	2	"63,107"	"60,276"	"2,831"	4.5	Oct-15
167	2	"63,096"	"60,353"	"2,743"	4.3	Nov-15
168	2	"63,072"	"60,472"	"2,600"	4.1	Dec-15
169	2	"63,099"	"60,290"	"2,809"	4.5	Jan-16
170	2	"63,780"	"60,778"	"3,002"	4.7	Feb-16
171	2	"63,611"	"60,945"	"2,666"	4.2	Mar-16
172	2	"63,682"	"61,320"	"2,362"	3.7	Apr-16
173	2	"63,277"	"60,931"	"2,346"	3.7	May-16
174	2	"64,273"	"61,258"	"3,015"	4.7	Jun-16
175	2	"64,563"	"61,673"	"2,890"	4.5	Jul-16
176	2	"63,615"	"60,692"	"2,923"	4.6	Aug-16
177	2	"63,612"	"60,783"	"2,829"	4.4	Sep-16
178	2	"64,169"	"61,523"	"2,646"	4.1	Oct-16
179	2	"64,133"	"61,655"	"2,478"	3.9	Nov-16
180	2	"63,908"	"61,522"	"2,386"	3.7	Dec-16
181	2	"64,474"	"61,883"	"2,591"	4	Jan-17
182	2	"65,108"	"62,149"	"2,959"	4.5	Feb-17
183	2	"64,698"	"62,055"	"2,643"	4.1	Mar-17
184	2	"64,858"	"62,367"	"2,491"	3.8	Apr-17
185	2	"65,254"	"62,728"	"2,526"	3.9	May-17
186	2	"65,855"	"62,815"	"3,040"	4.6	Jun-17
1	3	"48,715"	"47,846"	869	1.8	Jan-02
2	3	"49,105"	"48,208"	897	1.8	Feb-02
3	3	"49,180"	"48,362"	818	1.7	Mar-02
4	3	"49,378"	"48,634"	744	1.5	Apr-02
5	3	"48,918"	"48,121"	798	1.6	May-02
6	3	"49,610"	"48,687"	923	1.9	Jun-02
7	3	"50,618"	"49,732 "	886	1.8	Jul-02
8	3	"49,608"	"48,761 "	847	1.7	Aug-02
9	3	"49,046"	"48,267 "	779	1.6	Sep-02
10	3	"48,733"	"47,964"	769	1.6	Oct-02
11	3	"48,593"	"47,783"	810	1.7	Nov-02
12	3	"48,577"	"47,745"	832	1.7	Dec-02
13	3	"48,455"	"47,613"	842	1.7	Jan-03
14	3	"48,975"	"48,056"	919	1.9	Feb-03
15	3	"49,249"	"48,431"	819	1.7	Mar-03
16	3	"49,292"	"48,446"	846	1.7	Apr-03
17	3	"49,103"	"48,330"	773	1.6	May-03
18	3	"50,025"	"49,008"	"1,018"	2	Jun-03
19	3	"50,692"	"49,764 "	927	1.8	Jul-03
20	3	"49,673"	"48,693 "	980	2	Aug-03
21	3	"49,134"	"48,384 "	750	1.5	Sep-03
22	3	"49,513"	"48,620"	893	1.8	Oct-03
23	3	"49,224"	"48,364"	859	1.7	Nov-03
24	3	"48,726"	"47,919"	806	1.7	Dec-03
25	3	"48,964"	"48,081"	882	1.8	Jan-04
26	3	"49,593"	"48,707"	886	1.8	Feb-04
27	3	"49,529"	"48,568"	961	1.9	Mar-04
28	3	"49,589"	"48,725"	864	1.7	Apr-04
29	3	"49,201"	"48,313"	888	1.8	May-04
30	3	"49,965"	"48,969"	997	2	Jun-04
31	3	"50,728"	"49,641 "	"1,088"	2.1	Jul-04
32	3	"50,459"	"49,534 "	925	1.8	Aug-04
33	3	"50,029"	"49,115 "	914	1.8	Sep-04
34	3	"50,315"	"49,364"	952	1.9	Oct-04
35	3	"50,306"	"49,335"	971	1.9	Nov-04
36	3	"50,463"	"49,467"	996	2	Dec-04
37	3	"50,540"	"49,655"	886	1.8	Jan-05
38	3	"51,132"	"50,161"	971	1.9	Feb-05
39	3	"51,203"	"50,310"	894	1.7	Mar-05
40	3	"51,427"	"50,627"	801	1.6	Apr-05
41	3	"51,002"	"50,105"	897	1.8	May-05
42	3	"51,804"	"50,909"	896	1.7	Jun-05
43	3	"52,955"	"52,124 "	831	1.6	Jul-05
44	3	"52,383"	"51,588 "	794	1.5	Aug-05
45	3	"51,637"	"50,877 "	760	1.5	Sep-05
46	3	"51,609"	"50,851"	758	1.5	Oct-05
47	3	"51,389"	"50,619"	769	1.5	Nov-05
48	3	"51,571"	"50,811"	761	1.5	Dec-05
49	3	"51,337"	"50,614"	723	1.4	Jan-06
50	3	"51,768"	"51,023"	744	1.4	Feb-06
51	3	"51,674"	"50,952"	722	1.4	Mar-06
52	3	"51,510"	"50,820"	690	1.3	Apr-06
53	3	"51,825"	"51,077"	748	1.4	May-06
54	3	"53,033"	"52,256"	777	1.5	Jun-06
55	3	"53,546"	"52,705 "	841	1.6	Jul-06
56	3	"52,762"	"51,978 "	784	1.5	Aug-06
57	3	"52,145"	"51,401 "	744	1.4	Sep-06
58	3	"52,930"	"52,245"	686	1.3	Oct-06
59	3	"52,732"	"52,025"	707	1.3	Nov-06
60	3	"52,844"	"52,100"	744	1.4	Dec-06
61	3	"52,061"	"51,294"	767	1.5	Jan-07
62	3	"52,614"	"51,899"	715	1.4	Feb-07
63	3	"52,782"	"52,106"	676	1.3	Mar-07
64	3	"52,838"	"52,196"	642	1.2	Apr-07
65	3	"52,634"	"51,954"	680	1.3	May-07
66	3	"52,907"	"52,153"	754	1.4	Jun-07
67	3	"53,868"	"53,092 "	776	1.4	Jul-07
68	3	"53,225"	"52,504 "	721	1.4	Aug-07
69	3	"53,005"	"52,259 "	746	1.4	Sep-07
70	3	"53,333"	"52,644"	689	1.3	Oct-07
71	3	"53,577"	"52,849"	728	1.4	Nov-07
72	3	"53,381"	"52,658"	723	1.4	Dec-07
73	3	"53,165"	"52,338"	828	1.6	Jan-08
74	3	"53,589"	"52,873"	716	1.3	Feb-08
75	3	"53,826"	"53,029"	797	1.5	Mar-08
