"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
Healthcare Provider Tax (gross),"3,867,438","1,877,367","1,990,071",106.00%,"6,521,831","4,826,445","1,695,386",35.10%
Transfer to Nursing facility Quality of Care Fund,"3,867,438","1,877,367","1,990,071",106.00%,"6,521,831","4,826,445","1,695,386",35.10%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"10,491,601","12,197,551","-1,705,950",-14.00%,"28,690,891","33,617,754","-4,926,863",-14.70%
Transfer to Ballpark Fund,"536,118",0,"536,118",0.00%,"1,935,801","1,372,034","563,766",41.10%
Public Utilities (net),"9,955,483","12,197,551","-2,242,068",-18.40%,"26,755,091","32,245,720","-5,490,629",-17.00%
Ballpark Fee - Gross Receipts (gross),"605,557","1,095,046","-489,489",-44.70%,"1,697,635","3,149,679","-1,452,044",-46.10%
Transfer to Ballpark Fund,"605,557","1,095,046","-489,489",-44.70%,"1,697,635","3,149,679","-1,452,044",-46.10%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"25,817","11,600","14,216",122.60%,"115,690","43,891","71,799",163.60%
Transfer to Healthy DC Fund,"14,375",0,"14,375",0.00%,"14,375",0,"14,375",0.00%
Insurance Premiums (net),"11,442","11,600",-159,-1.40%,"101,315","43,891","57,424",130.80%
Toll Telecommunications  (gross),"4,126,501","4,372,149","-245,648",-5.60%,"14,557,705","13,020,929","1,536,776",11.80%
Transfer to Ballpark Fund,"188,805",0,"188,805",0.00%,"877,349","477,872","399,477",83.60%
Toll Telecommunications  (net),"3,937,696","4,372,149","-434,453",-9.90%,"13,680,357","12,543,058","1,137,299",9.10%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"51,398,142","45,288,926","6,109,216",13.50%,"129,134,562","158,958,623","-29,824,061",-18.80%
Estate,"8,614,812","3,266,258","5,348,554",163.80%,"13,650,390","9,658,029","3,992,361",41.30%
Deed Recordation  (gross),"23,127,652","22,456,820","670,831",3.00%,"62,178,205","78,277,262","-16,099,057",-20.60%
Transfer to HPTF,0,"8,373,066","-8,373,066",-100.00%,"6,047,899","11,045,496","-4,997,597",-45.20%
Deed Recordation  (net),"23,127,652","14,083,754","9,043,898",64.20%,"56,130,305","67,231,766","-11,101,460",-16.50%
Deed Transfer  (gross),"18,797,785","15,014,720","3,783,065",25.20%,"51,001,089","59,939,772","-8,938,683",-14.90%
Transfer to HPTF,0,"6,738,758","-6,738,758",-100.00%,"4,260,484","8,708,373","-4,447,889",-51.10%
Deed Transfer  (net),"18,797,785","8,275,962","10,521,823",127.10%,"46,740,605","51,231,398","-4,490,794",-8.80%
Economic Interest (gross),"857,894","4,551,129","-3,693,235",-81.10%,"2,304,880","11,083,561","-8,778,681",-79.20%
Coop Recordation (net),"756,394","448,984","307,410",68.50%,"1,596,594","1,465,786","130,809",8.90%
Economic Interest (net),"101,500","4,102,145","-4,000,645",-97.50%,"708,285","9,617,775","-8,909,490",-92.60%
TOTAL OTHER TAXES (net),"51,398,142","30,177,102","21,221,040",70.30%,"118,826,179","139,204,754","-20,378,574",-14.60%
TOTAL TAX COLLECTIONS (gross),"438,167,813","387,282,347","50,885,466",13.10%,"1,094,376,765","1,169,104,101","-74,727,336",-6.40%
TOTAL TAX COLLECTIONS (net),"422,501,353","345,342,254","77,159,099",22.30%,"1,018,198,260","1,086,234,160","-68,035,900",-6.30%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"4,178,239","3,179,474","998,766",31.40%,"11,983,135","9,068,522","2,914,613",32.10%
Nonbusiness Licenses & Permits,"2,516,022","2,940,459","-424,437",-14.40%,"7,714,474","7,671,641","42,833",0.60%
TOTAL LICENSES AND PERMITS,"6,694,261","6,119,933","574,328",9.40%,"19,697,608","16,740,163","2,957,446",17.70%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"7,774,879","5,022,256","2,752,623",54.80%,"15,015,481","14,014,236","1,001,245",7.10%
Rentals,"1,272,016","1,248,809","23,207",1.90%,"3,089,961","3,424,596","-334,635",-9.80%
Parking Meters,0,0,0,0.00%,0,0,0,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"9,046,895","6,271,065","2,775,830",44.30%,"18,105,443","17,438,833","666,610",3.80%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,"14,703",0,"14,703",0.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,"14,703",0,"14,703",0.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"9,164,156","2,543,872","6,620,284",260.20%,"24,290,411","10,765,988","13,524,422",125.60%
Other Fines & Forfeitures,"811,464","446,855","364,608",81.60%,"2,472,436","1,363,906","1,108,530",81.30%
Traffic Fines,"7,086,687","5,947,483","1,139,204",19.20%,"18,700,775","15,593,624","3,107,151",19.90%
TOTAL FINES AND FORFEITURES,"17,062,306","8,938,210","8,124,096",90.90%,"45,463,622","27,723,519","17,740,103",64.00%
MISCELLANEOUS REVENUE,,,,,,,,
Interest Income,"343,006","25,847","317,160",1227.10%,"747,682","23,476","724,206",3084.80%
Unclaimed Property,"1,871,059","-115,938","1,986,997",-1713.80%,"26,929,080","30,199,635","-3,270,555",-10.80%
Other Revenue,"1,492,323","1,236,686","255,636",20.70%,"2,516,807","6,025,079","-3,508,272",-58.20%
Private Grants,0,0,0,0.00%,0,0,0,0.00%
TOTAL MISCELLANEOUS REVENUE,"7,617,428","1,146,595","6,470,833",564.40%,"34,104,608","38,361,208","-4,256,600",-11.10%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,0.00%,"1,434,075",0,"1,434,075",0.00%
Legalized Gambling,"3,930,000",0,"3,930,000",0.00%,"13,430,000",0,"13,430,000",0.00%
Special Purpose O-Type Revenue,"42,123,504","46,380,188","-4,256,684",-9.20%,"123,125,781","114,545,977","8,579,804",7.50%
TOTAL TRANSFER FROM OTHER FUNDS,"46,053,504","46,380,188","-326,684",-0.70%,"137,989,856","114,545,977","23,443,879",20.50%
TOTAL NON-TAX REVENUES,"86,474,395","68,855,992","17,618,403",25.60%,"255,375,840","214,809,699","40,566,141",18.90%
TOTAL GENERAL FUND (GROSS),"524,642,208","456,138,338","68,503,869",15.00%,"1,349,752,605","1,383,913,800","-34,161,195",-2.50%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"5,336,492","5,405,292","-68,800",-1.30%,"19,713,646","12,366,006","7,347,640",59.40%
Plastic Bag fee,"194,981","181,430","13,551",7.50%,"389,711","373,984","15,727",4.20%
TOTAL,"5,531,473","5,586,722","-55,249",-1.00%,"20,103,357","12,739,990","7,363,367",57.80%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,948,0,948,0.00%,"404,188","30,222","373,966",1237.40%
Real Property Tax Refunds,"1,654,629","5,719,887","4,065,257",71.10%,"9,062,012","11,694,042","2,632,030",22.50%
Sales & Use Tax Refunds,"47,611","79,672","127,283",159.80%,"423,607","575,110","151,503",26.30%
TOTAL REFUNDS,"1,607,966","5,799,558","4,191,592",72.30%,"9,889,807","12,299,373","2,409,567",19.60%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"7,935,710","7,813,844","121,867",1.60%,"9,342,798","9,230,756","112,042",1.20%
Payments,"67,112,146","46,545,555","20,566,591",44.20%,"87,601,652","71,338,142","16,263,511",22.80%
Refunds,"3,783,441","2,610,295","1,173,147",44.90%,"15,371,037","18,881,818","3,510,782",18.60%
TOTAL CORPORATION FRANCHISE TAXES,"71,264,415","51,749,104","19,515,311",37.70%,"81,573,414","61,687,079","19,886,335",32.20%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"40,526,858","30,761,856","9,765,001",31.70%,"47,465,406","37,501,599","9,963,808",26.60%
Fiducary,"454,054","376,094","77,960",20.70%,"747,260","773,183","-25,923",-3.40%
Payments,"6,969,957","4,161,202","2,808,755",67.50%,"24,728,224","20,097,288","4,630,936",23.00%
Refunds,"8,273,141","6,160,959","2,112,182",34.30%,"32,163,010","28,590,934","3,572,075",12.50%
Withholding,"119,808,477","110,769,410","9,039,067",8.20%,"372,494,552","363,336,946","9,157,606",2.50%
TOTAL INDIVIDUAL INCOME TAXES,"159,486,204","139,907,603","19,578,601",14.00%,"413,272,433","393,118,082","20,154,352",5.10%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"6,684,641","6,534,871","149,770",2.30%,"8,025,332","7,385,433","639,900",8.70%
Payments,"17,407,024","26,512,989","-9,105,965",-34.30%,"25,314,788","32,878,306","-7,563,518",-23.00%
Refunds,"2,760,359","422,183","2,338,176",553.80%,"4,064,338","2,728,880","1,335,459",48.90%
TOTAL UNINCORPORATED FRANCHISE TAXES,"21,331,306","32,625,676","11,294,370",34.60%,"29,275,782","37,534,859","8,259,078",22.00%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"2,953,825","1,842,305","1,111,520",60.30%,"8,576,507","7,317,995","1,258,512",17.20%
Healthy DC Fund,"14,375",0,"14,375",0.00%,"14,375",0,"14,375",0.00%
Housing Production Trust Fund,0,"15,111,824","-15,111,824",-100.00%,"10,308,383","19,753,870","-9,445,486",-47.80%
