"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
Cigarette,"1,869,380","2,210,584","-341,204",-15.40%,"5,740,848","3,299,521","2,441,327",74.00%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,0,0,0.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Excise Tax Gross Coll,"3,437,348","3,373,751","63,597",1.90%,"7,523,765","7,740,396","-216,630",-2.80%
TOTAL SELECTIVE SALES TAXES (net),"5,809,541","6,156,524","-346,984",-5.60%,"14,394,310","12,155,351","2,238,959",18.40%
TOTAL SALES TAXES (net),"87,857,077","94,146,093","-6,289,016",-6.70%,"203,296,704","210,156,458","-6,859,754",-3.30%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"116,018,234","133,772,580","-17,754,346",-13.30%,"271,986,974","268,025,209","3,961,765",1.50%
Individual Income,"108,037,962","128,303,732","-20,265,770",-15.80%,"253,733,500","253,210,479","523,021",0.20%
Corporate Franchise,"6,151,384","4,328,693","1,822,691",42.10%,"10,308,998","9,905,547","403,451",4.10%
U.B. Franchise,"1,828,887","1,140,155","688,732",60.40%,"7,944,476","4,909,183","3,035,293",61.80%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"14,401,260","17,234,350","-2,833,090",-16.40%,"32,466,839","35,264,500","-2,797,661",-7.90%
Hospital Bed Tax (gross),0,"1,369","-1,369",-100.00%,0,"159,515","-159,515",-100.00%
Transfer to Hospital Fund,0,0,0,0.00%,0,0,0,0.00%
Hospital Bed Tax (net),0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (gross),0,0,0,0.00%,0,0,0,0.00%
Transfer to Steve Sellows,0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (net),0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"1,208,033","1,316,888","-108,856",-8.30%,"2,654,394","2,949,078","-294,685",-10.00%
Transfer to Nursing facility Quality of Care Fund,"1,208,033","1,316,888","-108,856",-8.30%,"2,654,394","2,949,078","-294,685",-10.00%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"8,156,288","10,651,761","-2,495,474",-23.40%,"18,199,290","21,420,203","-3,220,913",-15.00%
Transfer to Ballpark Fund,"1,399,683","666,887","732,796",109.90%,"1,399,683","1,372,034","27,648",2.00%
Public Utilities (net),"6,756,605","9,984,874","-3,228,269",-32.30%,"16,799,607","20,048,169","-3,248,561",-16.20%
Ballpark Fee - Gross Receipts (gross),"593,443","827,694","-234,251",-28.30%,"1,092,078","2,054,633","-962,555",-46.80%
Transfer to Ballpark Fund,"593,443","827,694","-234,251",-28.30%,"1,092,078","2,054,633","-962,555",-46.80%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"83,966","27,856","56,110",201.40%,"89,873","32,290","57,583",178.30%
Transfer to Healthy DC Fund,0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (net),"83,966","27,856","56,110",201.40%,"89,873","32,290","57,583",178.30%
Toll Telecommunications  (gross),"4,359,531","4,408,782","-49,251",-1.10%,"10,431,204","8,648,780","1,782,424",20.60%
Transfer to Ballpark Fund,"688,544","171,145","517,399",302.30%,"688,544","477,872","210,673",44.10%
Toll Telecommunications  (net),"3,670,987","4,237,637","-566,650",-13.40%,"9,742,660","8,170,909","1,571,752",19.20%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"46,649,240","61,311,222","-14,661,983",-23.90%,"77,736,420","113,669,697","-35,933,277",-31.60%
Estate,"1,340,641","2,266,669","-926,029",-40.90%,"5,035,578","6,391,771","-1,356,194",-21.20%
Deed Recordation  (gross),"24,375,143","30,123,797","-5,748,654",-19.10%,"39,050,553","55,820,442","-16,769,889",-30.00%
Transfer to HPTF,"6,047,899","2,672,430","3,375,469",126.30%,"6,047,899","2,672,430","3,375,469",126.30%
Deed Recordation  (net),"18,327,244","27,451,367","-9,124,123",-33.20%,"33,002,654","53,148,012","-20,145,358",-37.90%
Deed Transfer  (gross),"20,275,504","23,074,027","-2,798,522",-12.10%,"32,203,304","44,925,052","-12,721,748",-28.30%
Transfer to HPTF,"4,260,484","1,969,615","2,290,869",116.30%,"4,260,484","1,969,615","2,290,869",116.30%
Deed Transfer  (net),"16,015,020","21,104,411","-5,089,391",-24.10%,"27,942,820","42,955,436","-15,012,616",-34.90%
Economic Interest (gross),"657,951","5,846,729","-5,188,778",-88.70%,"1,446,986","6,532,432","-5,085,446",-77.80%
Coop Recordation (net),"427,035","481,729","-54,694",-11.40%,"840,201","1,016,802","-176,601",-17.40%
Economic Interest (net),"230,916","5,365,000","-5,134,084",-95.70%,"606,785","5,515,630","-4,908,845",-89.00%
TOTAL OTHER TAXES (net),"36,340,856","56,669,176","-20,328,320",-35.90%,"67,428,037","109,027,651","-41,599,614",-38.20%
TOTAL TAX COLLECTIONS (gross),"299,861,074","331,486,448","-31,625,373",-9.50%,"656,106,357","781,821,754","-125,715,397",-16.10%
TOTAL TAX COLLECTIONS (net),"257,386,485","305,176,958","-47,790,473",-15.70%,"595,594,313","740,891,906","-145,297,593",-19.60%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"3,964,153","2,526,182","1,437,971",56.90%,"7,804,895","5,889,048","1,915,847",32.50%
Nonbusiness Licenses & Permits,"2,544,397","2,195,204","349,193",15.90%,"5,198,452","4,731,182","467,270",9.90%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"3,572,205","4,304,230","-732,025",-17.00%,"7,240,602","8,991,980","-1,751,378",-19.50%
Rentals,"898,783","1,219,522","-320,740",-26.30%,"1,817,946","2,175,788","-357,842",-16.40%
Parking Meters,0,0,0,0.00%,0,0,0,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"4,470,988","5,523,753","-1,052,765",-19.10%,"9,058,548","11,167,767","-2,109,220",-18.90%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,"14,703",0,"14,703",0.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTA,0,0,0,0.00%,"14,703",0,"14,703",0.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"7,984,187","4,058,560","3,925,627",96.70%,"15,126,255","8,222,117","6,904,138",84.00%
Other Fines & Forfeitures,"813,098","402,935","410,163",101.80%,"1,660,973","917,051","743,922",81.10%
Traffic Fines,"5,569,276","1,289,430","4,279,846",331.90%,"11,614,088","9,646,141","1,967,947",20.40%
TOTAL FINES AND FORFEITURES,"14,366,561","5,750,926","8,615,635",149.80%,"28,401,316","18,785,309","9,616,007",51.20%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),0,"2,113,018","-2,113,018",-100.00%,0,"2,113,018","-2,113,018",-100.00%
Interest Income,"287,413","-1,256","288,669",-22975.90%,"403,196","-2,370","405,566",-17109.80%
Unclaimed Property,"6,447,738","8,749,142","-2,301,404",-26.30%,"25,058,020","30,315,573","-5,257,553",-17.30%
Other Revenue,"500,858","3,564,259","-3,063,402",-85.90%,"1,024,484","4,788,393","-3,763,909",-78.60%
Private Grants,0,0,0,0.00%,0,0,0,0.00%
TOTAL MISCELLANEOUS REVENUE,"7,236,008","14,425,162","-7,189,153",-49.80%,"26,485,700","37,214,613","-10,728,913",-28.80%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,"1,434,075",0,"1,434,075",0.00%,"1,434,075",0,"1,434,075",0.00%
Legalized Gambling,"9,500,000",0,"9,500,000",0.00%,"9,500,000",0,"9,500,000",0.00%
Special Purpose O-Type Revenue,"42,085,279","28,549,787","13,535,493",47.40%,"81,107,147","68,165,789","12,941,358",19.00%
TOTAL TRANSFER FROM OTHER FUNDS,"53,019,355","28,549,787","24,469,568",85.70%,"92,041,222","68,165,789","23,875,433",35.00%
TOTAL NON-TAX REVENUES,"85,601,461","58,971,013","26,630,449",45.20%,"169,004,835","145,953,707","23,051,128",15.80%
TOTAL GENERAL FUND (GROSS),"385,462,536","390,457,460","-4,994,925",-1.30%,"825,111,193","927,775,461","-102,664,269",-11.10%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"14,377,154","6,960,714","7,416,440",106.50%,"14,377,154","6,960,714","7,416,440",106.50%
Plastic Bag fee,"194,730","192,554","2,176",1.10%,"194,730","192,554","2,176",1.10%
TOTAL,"14,571,884","7,153,268","7,418,616",103.70%,"14,571,884","7,153,268","7,418,616",103.70%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,"196,102",0,"196,102",0.00%,"403,240","30,222","373,018",1234.30%
Real Property Tax Refunds,"3,097,628","1,589,348","1,508,280",94.90%,"7,407,382","5,974,155","1,433,227",24.00%
Sales & Use Tax Refunds,"88,767","203,392","114,625",56.40%,"471,218","495,438","24,220",4.90%
TOTAL REFUNDS,"3,382,497","1,792,740","1,589,756",88.70%,"8,281,841","6,499,815","1,782,026",27.40%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"311,550","417,473","-105,923",-25.40%,"1,407,088","1,416,912","-9,824",-0.70%
Payments,"5,559,303","7,414,926","-1,855,623",-25.00%,"20,489,506","24,792,586","-4,303,081",-17.40%
Refunds,"280,532","3,471,278","3,751,809",108.10%,"11,587,595","16,271,524","4,683,928",28.80%
TOTAL CORPORATION FRANCHISE TAXES,"6,151,384","4,361,121","1,790,264",41.10%,"10,308,998","9,937,975","371,024",3.70%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"2,134,962","1,634,746","500,217",30.60%,"6,938,549","6,739,742","198,806",2.90%
Fiducary,"143,965","257,765","-113,800",-44.10%,"293,206","397,089","-103,883",-26.20%
Payments,"2,874,759","3,702,680","-827,921",-22.40%,"17,758,268","15,936,086","1,822,182",11.40%
Refunds,"18,206,232","9,170,198","9,036,034",98.50%,"23,889,869","22,429,975","1,459,893",6.50%
Withholding,"121,143,238","131,878,740","-10,735,502",-8.10%,"252,686,075","252,567,537","118,538",0.00%
TOTAL INDIVIDUAL INCOME TAXES,"108,090,692","128,303,732","-20,213,040",-15.80%,"253,786,229","253,210,479","575,750",0.20%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"616,268","301,370","314,898",104.50%,"1,340,691","850,562","490,129",57.60%
Payments,"1,944,031","2,567,136","-623,105",-24.30%,"7,907,764","6,365,317","1,542,446",24.20%
Refunds,"731,411","1,728,351","996,940",57.70%,"1,303,979","2,306,696","1,002,717",43.50%
TOTAL UNINCORPORATED FRANCHISE TAXES,"1,828,887","1,140,155","688,732",60.40%,"7,944,476","4,909,183","3,035,293",61.80%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"2,683,772","3,236,875","-553,103",-17.10%,"5,622,682","5,475,689","146,992",2.70%
Housing Production Trust Fund,"10,308,383","4,642,046","5,666,338",122.10%,"10,308,383","4,642,046","5,666,338",122.10%
