"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
TOTAL GROSS RECEIPTS TAXES (gross),"21,950,689","21,634,951","315,738",1.50%,"321,270,251","321,682,630","-412,379",-0.10%
Transfer to Hospital Fund,0,0,0,0.00%,0,0,0,0.00%
Hospital Bed Tax (net),0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (gross),0,"998,299","-998,299",-100.00%,0,"3,723,210","-3,723,210",-100.00%
Transfer to Steve Sellows,0,"998,299","-998,299",-100.00%,0,"3,723,210","-3,723,210",-100.00%
ICF-MR Assesment (net),0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"-5,418,279","665,643","-6,083,922",-914.00%,"3,871,723","11,381,206","-7,509,484",-66.00%
Transfer to Nursing facility Quality of Care Fund,"-5,418,279","665,643","-6,083,922",-914.00%,"3,871,723","11,381,206","-7,509,484",-66.00%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"10,748,007","12,566,773","-1,818,766",-14.50%,"111,747,463","123,234,999","-11,487,536",-9.30%
Transfer to Ballpark Fund,"585,610","686,815","-101,205",-14.70%,"6,623,035","7,183,045","-560,010",-7.80%
Public Utilities (net),"10,162,397","11,879,958","-1,717,561",-14.50%,"105,124,428","116,051,954","-10,927,525",-9.40%
Ballpark Fee - Gross Receipts (gross),"1,476,493","1,640,500","-164,007",-10.00%,"30,871,724","33,362,418","-2,490,694",-7.50%
Transfer to Ballpark Fund,"1,476,493","1,640,500","-164,007",-10.00%,"30,871,724","33,362,418","-2,490,694",-7.50%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"1,622,304","1,149,263","473,041",41.20%,"106,477,533","105,191,632","1,285,901",1.20%
Transfer to Healthy DC Fund,0,0,0,0.00%,"1,954,718","1,900,073","54,645",2.90%
Insurance Premiums (net),"1,622,304","1,149,263","473,041",41.20%,"104,522,815","103,291,558","1,231,256",1.20%
Toll Telecommunications  (gross),"4,189,491","4,614,374","-424,884",-9.20%,"45,518,147","44,629,350","888,797",2.00%
Transfer to Ballpark Fund,"194,104","175,175","18,929",10.80%,"2,256,451","2,070,889","185,562",9.00%
Toll Telecommunications  (net),"3,995,387","4,439,199","-443,812",-10.00%,"43,261,696","42,558,461","703,235",1.70%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"44,682,817","59,549,521","-14,866,704",-25.00%,"403,971,748","447,462,450","-43,490,702",-9.70%
Estate,"2,741,531","6,755,887","-4,014,356",-59.40%,"44,619,937","41,385,592","3,234,345",7.80%
Deed Recordation  (gross),"24,924,042","29,519,300","-4,595,258",-15.60%,"204,547,973","214,456,422","-9,908,448",-4.60%
Transfer to HPTF,"4,257,052","3,547,544","709,509",20.00%,"30,790,073","30,410,724","379,349",1.20%
Deed Recordation  (net),"20,666,990","25,971,757","-5,304,767",-20.40%,"173,757,900","184,045,698","-10,287,798",-5.60%
Deed Transfer  (gross),"16,359,397","22,693,247","-6,333,850",-27.90%,"143,050,298","168,444,956","-25,394,659",-15.10%
Transfer to HPTF,"2,490,941","2,842,300","-351,359",-12.40%,"21,474,949","23,832,372","-2,357,423",-9.90%
Deed Transfer  (net),"13,868,456","19,850,947","-5,982,491",-30.10%,"121,575,349","144,612,585","-23,037,236",-15.90%
Economic Interest (gross),"657,847","581,086","76,761",13.20%,"11,753,540","23,175,479","-11,421,939",-49.30%
Coop Recordation (net),"561,364","581,086","-19,722",-3.40%,"5,053,805","4,662,703","391,102",8.40%
Economic Interest (net),"96,483",0,"96,483",0.00%,"6,624,120","18,512,776","-11,888,657",-64.20%
TOTAL OTHER TAXES (net),"37,934,824","53,159,677","-15,224,853",-28.60%,"351,631,111","393,219,354","-41,588,243",-10.60%
TOTAL TAX COLLECTIONS (gross),"400,783,868","367,926,048","32,857,820",8.90%,"5,129,110,617","5,086,342,738","42,767,879",0.80%
TOTAL TAX COLLECTIONS (net),"348,114,190","328,689,169","19,425,021",5.90%,"4,772,351,664","4,744,295,233","28,056,432",0.60%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"5,028,286","5,031,816","-3,530",-0.10%,"45,456,637","47,447,727","-1,991,091",-4.20%
Nonbusiness Licenses & Permits,"3,453,546","3,053,982","399,565",13.10%,"27,682,448","27,910,694","-228,247",-0.80%
TOTAL LICENSES AND PERMITS,"8,481,833","8,085,798","396,035",4.90%,"73,139,084","75,358,422","-2,219,338",-2.90%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"4,436,601","5,812,375","-1,375,774",-23.70%,"57,477,369","57,851,343","-373,974",-0.60%
Rentals,"1,087,399","1,410,921","-323,521",-22.90%,"10,857,181","12,324,123","-1,466,942",-11.90%
Parking Meters,0,0,0,0.00%,0,0,0,0.00%
Tuitions,0,0,0,0.00%,3,0,3,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"5,524,000","7,223,296","-1,699,295",-23.50%,"68,334,553","70,175,466","-1,840,912",-2.60%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,"14,854",0,"14,854",0.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"7,703,413","6,343,809","1,359,604",21.40%,"83,698,126","40,961,160","42,736,966",104.30%
Other Fines & Forfeitures,"562,286","364,180","198,106",54.40%,"7,347,324","5,488,520","1,858,804",33.90%
Traffic Fines,"4,959,582","6,208,622","-1,249,039",-20.10%,"56,898,630","55,157,194","1,741,436",3.20%
TOTAL FINES AND FORFEITURES,"13,225,281","12,916,611","308,670",2.40%,"147,944,080","101,606,874","46,337,206",45.60%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),0,0,0,0.00%,"11,733,119","18,428,227","-6,695,108",-36.30%
Interest Income,"357,263","15,206","342,057",2249.50%,"3,447,006","-444,413","3,891,419",-875.60%
Unclaimed Property,"1,129,837","763,965","365,872",47.90%,"28,717,152","37,958,124","-9,240,972",-24.30%
Other Revenue,"5,782,934","10,736,845","-4,953,912",-46.10%,"14,311,615","44,660,815","-30,349,201",-68.00%
Private Grants,0,"25,000","-25,000",-100.00%,0,"25,000","-25,000",-100.00%
TOTAL MISCELLANEOUS REVENUE,"7,270,033","11,541,016","-4,270,983",-37.00%,"58,208,891","100,627,753","-42,418,862",-42.20%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,"11,759,238","-11,759,238",-100.00%,"1,434,076","14,362,985","-12,928,909",-90.00%
Legalized Gambling,"5,400,000","5,195,432","204,568",3.90%,"45,716,862","46,685,904","-969,042",-2.10%
Special Purpose O-Type Revenue,"42,815,515","49,355,273","-6,539,758",-13.30%,"429,351,228","398,064,388","31,286,841",7.90%
TOTAL TRANSFER FROM OTHER FUNDS,"48,215,515","66,309,944","-18,094,428",-27.30%,"476,502,166","459,113,276","17,388,890",3.80%
TOTAL NON-TAX REVENUES,"82,716,663","106,076,664","-23,360,001",-22.00%,"824,143,629","806,881,791","17,261,838",2.10%
TOTAL GENERAL FUND (GROSS),"483,500,531","474,002,712","9,497,819",2.00%,"5,953,254,247","5,893,224,529","60,029,717",1.00%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"6,266,780","11,422,051","-5,155,271",-45.10%,"60,672,571","54,216,955","6,455,616",11.90%
Plastic Bag fee,"186,247","190,297","-4,050",-2.10%,"1,717,808","1,673,417","44,391",2.70%
TOTAL,"6,453,027","11,612,348","-5,159,321",-44.40%,"62,390,379","55,890,372","6,500,007",11.60%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,140,"401,459","-401,319",-100.00%,"880,654","1,321,112","-440,458",-33.30%
Real Property Tax Refunds,"5,287,749","5,191,488","96,261",1.90%,"42,324,896","48,472,616","-6,147,720",-12.70%
Sales & Use Tax Refunds,"172,323","98,387","73,936",75.10%,"1,606,151","1,947,126","-340,975",-17.50%
TOTAL REFUNDS,"5,460,212","5,691,334","-231,123",-4.10%,"44,811,701","51,740,854","-6,929,153",-13.40%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"1,504,247","466,941","1,037,307",222.10%,"29,115,201","27,362,869","1,752,332",6.40%
Payments,"7,418,614","7,674,901","-256,288",-3.30%,"293,921,183","279,319,531","14,601,652",5.20%
Refunds,"1,579,293","10,359,802","-8,780,509",-84.80%,"38,344,435","50,970,228","-12,625,793",-24.80%
TOTAL CORPORATION FRANCHISE TAXES,"7,343,568","-2,217,960","9,561,528",431.10%,"284,691,949","255,712,172","28,979,777",11.30%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"2,774,734","3,554,023","-779,289",-21.90%,"246,718,191","238,793,835","7,924,356",3.30%
Fiducary,"43,137","125,173","-82,036",-65.50%,"22,523,471","18,744,229","3,779,242",20.20%
Payments,"5,403,449","4,424,335","979,114",22.10%,"260,220,201","252,705,793","7,514,407",3.00%
Refunds,"9,172,586","10,771,557","-1,598,972",-14.80%,"352,320,812","291,643,651","60,677,162",20.80%
Withholding,"130,270,981","121,388,746","8,882,236",7.30%,"1,358,368,677","1,321,555,026","36,813,651",2.80%
TOTAL INDIVIDUAL INCOME TAXES,"129,319,717","118,720,721","10,598,996",8.90%,"1,535,509,727","1,540,155,233","-4,645,506",-0.30%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"372,168","489,249","-117,081",-23.90%,"23,775,912","22,688,138","1,087,774",4.80%
Payments,"1,575,401","1,140,745","434,656",38.10%,"117,505,301","112,665,969","4,839,332",4.30%
Refunds,"757,477","5,488,262","-4,730,785",-86.20%,"9,879,595","11,661,781","-1,782,186",-15.30%
TOTAL UNINCORPORATED FRANCHISE TAXES,"1,190,092","-3,858,269","-2,668,176",-130.80%,"131,401,619","123,692,326","7,709,292",6.20%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"3,579,802","9,729,623","-6,149,822",-63.20%,"55,316,973","57,820,408","-2,503,435",-4.30%
Healthy DC Fund,0,0,0,0.00%,"1,954,718","1,900,073","54,645",2.90%
Housing Production Trust Fund,"6,747,994","6,389,844","358,150",5.60%,"52,265,023","54,243,096","-1,978,073",-3.60%
