"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
Declarations,"3,963,536","311,550","3,651,986",1172.20%,"6,467,752","1,407,088","5,060,664",359.70%
Payments,"6,109,796","5,559,303","550,494",9.90%,"18,288,011","20,489,506","-2,201,495",-10.70%
Refunds,"1,477,627","280,532","-1,197,095",626.70%,"3,506,909","11,587,595","8,080,686",69.70%
TOTAL CORPORATION FRANCHISE TAXES,"8,595,706","5,590,321","3,005,384",39.70%,"21,248,853","10,308,998","10,939,855",106.10%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"1,762,058","2,134,962","-372,905",-17.50%,"6,552,666","6,938,549","-385,883",-5.60%
Fiducary,"240,688","143,965","96,723",67.20%,"320,197","293,206","26,990",9.20%
Payments,"4,419,500","2,874,759","1,544,741",53.70%,"19,002,266","17,758,268","1,243,998",7.00%
Refunds,"12,786,605","18,206,232","-5,419,627",-29.80%,"28,833,076","23,889,869","4,943,207",20.70%
Withholding,"131,262,860","121,143,238","10,119,622",8.40%,"270,512,528","252,686,075","17,826,453",7.10%
TOTAL INDIVIDUAL INCOME TAXES,"124,898,500","108,090,692","16,807,809",15.50%,"267,554,580","253,786,229","13,768,351",5.40%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"1,310,011","616,268","693,743",112.60%,"1,974,539","1,340,691","633,848",47.30%
Payments,"1,484,343","1,944,031","-459,687",-23.60%,"6,243,089","7,907,764","-1,664,675",-21.10%
Refunds,"1,102,659","731,411","371,248",50.80%,"2,094,528","1,303,979","790,550",60.60%
TOTAL UNINCORPORATED FRANCHISE TAXES,"1,691,695","1,828,887","137,192",7.50%,"6,123,100","7,944,476","-1,821,376",-22.90%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"4,393,784","2,683,772","1,710,012",63.70%,"6,117,366","5,622,682","494,685",8.80%
Healthy DC Fund,"67,713",0,"67,713",0.00%,"67,713",0,"67,713",0.00%
Housing Production Trust Fund,"5,580,586","10,308,383","-4,727,797",-45.90%,"5,580,586","10,308,383","-4,727,797",-45.90%
