"TAXCOLLECTIONS",,"MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
General Sales And Use Tax (net),,"119,862,015","101,922,663","17,939,351",17.60%,"997,972,989","913,419,648","84,553,341",9.30%
Plastic Bag Use Fee,,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),,"119,862,015","101,922,663","17,939,351",17.60%,"997,972,989","913,419,648","84,553,341",9.30%
SELECTIVE SALES TAXES,,,,,,,,,
Alcoholic Beverage,,"860,926","625,677","235,250",37.60%,"5,730,950","5,624,224","106,726",1.90%
Cigarette,,"2,588,552","2,114,800","473,752",22.40%,"24,123,367","24,984,785","-861,418",-3.40%
Motor Vehicle Fuel  (gross),,"13,235","17,701,473","-17,688,238",-99.90%,"17,029,159","18,758,669","-1,729,510",-9.20%
Transfer to Highway Trust Fund,,0,"17,701,473","-17,701,473",-100.00%,"17,015,924","17,701,473","-685,549",-3.90%
Motor Vehicle Fuel  (net),,"13,235",0,"13,235",0.00%,"13,235","1,057,196","-1,043,961",-98.70%
Motor Vehicle Excise Tax Gross Coll,,"3,490,936","4,551,856","-1,060,919",-23.30%,"37,703,030","37,985,488","-282,458",-0.70%
TOTAL SELECTIVE SALES TAXES (net),,"6,953,650","7,292,333","-338,683",-4.60%,"67,570,582","69,651,694","-2,081,112",-3.00%
TOTAL SALES TAXES (net),,"126,815,665","109,214,996","17,600,668",16.10%,"1,065,543,571","983,071,342","82,472,229",8.40%
INCOME AND FRANCHISE TAXES,,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),,"161,137,019","137,806,404","23,330,615",16.90%,"2,023,423,494","1,950,306,047","73,117,447",3.70%
Individual Income,,"156,000,115","129,272,744","26,727,371",20.70%,"1,559,406,715","1,534,574,843","24,831,872",1.60%
Corporate Franchise,,"3,320,082","7,343,568","-4,023,486",-54.80%,"325,784,726","284,329,585","41,455,141",14.60%
U.B. Franchise,,"1,816,822","1,190,092","626,729",52.70%,"138,232,052","131,401,619","6,830,433",5.20%
TOTAL INCOME AND FRANCHISE TAXES (net),,"161,137,019","137,806,404","23,330,615",16.90%,"2,023,423,494","1,950,306,047","73,117,447",3.70%
GROSS RECEIPTS TAXES,,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),,"22,874,812","21,950,689","924,123",4.20%,"320,965,252","321,270,251","-304,998",-0.10%
Hospital Bed Tax,,0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),,"-6,111,015","-5,418,279","-692,736",12.80%,"2,155,698","3,871,723","-1,716,025",-44.30%
Transfer to Nursing facility Quality of Care Fund,,"-6,111,015","-5,418,279","-692,736",12.80%,"2,155,698","3,871,723","-1,716,025",-44.30%
Healthcare Provider Tax (net),,0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),,"12,128,306","10,748,007","1,380,299",12.80%,"113,566,136","111,747,463","1,818,673",1.60%
Transfer to Ballpark Fund,,"627,751","585,610","42,140",7.20%,"6,576,172","6,623,035","-46,863",-0.70%
Public Utilities (net),,"11,500,555","10,162,397","1,338,158",13.20%,"106,989,964","105,124,428","1,865,535",1.80%
Ballpark Fee - Gross Receipts (gross),,"2,882,626","1,476,493","1,406,133",95.20%,"29,802,503","30,871,724","-1,069,222",-3.50%
Transfer to Ballpark Fund,,"2,882,626","1,476,493","1,406,133",95.20%,"29,802,503","30,871,724","-1,069,222",-3.50%
Ballpark Fee - Gross Reciepts (net),,0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),,"1,672,270","1,622,304","49,966",3.10%,"109,984,015","106,477,533","3,506,482",3.30%
Transfer to Healthy DC Fund,,0,0,0,0.00%,"2,179,096","1,954,718","224,378",11.50%
Insurance Premiums (net),,"1,672,270","1,622,304","49,966",3.10%,"107,804,919","104,522,815","3,282,104",3.10%
Toll Telecommunications  (gross),,"3,956,547","4,189,491","-232,943",-5.60%,"41,484,046","45,518,147","-4,034,100",-8.90%
Transfer to Ballpark Fund,,"409,056","194,104","214,953",110.70%,"2,042,139","2,256,451","-214,312",-9.50%
Toll Telecommunications  (net),,"3,547,491","3,995,387","-447,896",-11.20%,"39,441,907","43,261,696","-3,819,788",-8.80%
TOTAL GROSS RECEIPTS TAXES (net),,,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,,
TOTAL OTHER TAXES (gross),,"59,924,370","44,682,817","15,241,552",34.10%,"419,220,784","403,971,748","15,249,036",3.80%
Estate,,"3,087,379","2,741,531","345,847",12.60%,"31,696,551","44,619,937","-12,923,386",-29.00%
Deed Recordation  (gross),,"30,214,565","24,924,042","5,290,523",21.20%,"207,690,083","204,547,973","3,142,109",1.50%
Transfer to HPTF,,"3,210,148","4,257,052","-1,046,905",-24.60%,"29,664,010","30,790,073","-1,126,064",-3.70%
Deed Recordation  (net),,"27,004,418","20,666,990","6,337,428",30.70%,"178,026,073","173,757,900","4,268,173",2.50%
Deed Transfer  (gross),,"26,054,605","16,359,397","9,695,208",59.30%,"160,505,418","143,050,298","17,455,120",12.20%
Transfer to HPTF,,"2,354,967","2,490,941","-135,975",-5.50%,"22,875,624","21,474,949","1,400,675",6.50%
Deed Transfer  (net),,"23,699,638","13,868,456","9,831,182",70.90%,"137,629,794","121,575,349","16,054,445",13.20%
Economic Interest (gross),,"567,821","657,847","-90,026",-13.70%,"19,328,733","11,753,540","7,575,193",64.50%
Coop Recordation (net),,"567,821","561,364","6,457",1.20%,"4,813,818","5,053,805","-239,987",-4.70%
Economic Interest (net),,0,"96,483","-96,483",-100.00%,"14,470,689","6,624,120","7,846,570",118.50%
TOTAL OTHER TAXES (net),,"54,359,255","37,934,824","16,424,431",43.30%,"366,636,925","351,631,111","15,005,815",4.30%
TOTAL TAX COLLECTIONS (gross),,"444,238,125","400,783,868","43,454,257",10.80%,"5,414,012,106","5,129,110,617","284,901,489",5.60%
TOTAL TAX COLLECTIONS (net),,"411,495,144","348,114,190","63,380,954",18.20%,"5,027,048,287","4,772,351,664","254,696,623",5.30%
LICENSES AND PERMITS,,,,,,,,,
Business Licenses & Permits,,"4,166,344","5,028,286","-861,942",-17.10%,"48,178,196","45,456,637","2,721,560",6.00%
Nonbusiness Licenses & Permits,,"2,907,658","3,453,546","-545,889",-15.80%,"30,428,296","27,682,448","2,745,849",9.90%
TOTAL LICENSES AND PERMITS,,"7,074,002","8,481,833","-1,407,831",-16.60%,"78,606,493","73,139,084","5,467,408",7.50%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,,
Other Charges For Services,,"4,670,713","4,436,601","234,112",5.30%,"61,696,178","57,477,369","4,218,808",7.30%
Rentals,,"951,838","1,087,399","-135,561",-12.50%,"10,662,935","10,857,181","-194,245",-1.80%
Parking Meters,,"3,580",0,"3,580",0.00%,"3,580",0,"3,580",0.00%
Tuitions,,0,0,0,0.00%,0,3,-3,-100.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,,"5,626,131","5,524,000","102,131",1.80%,"72,362,693","68,334,553","4,028,139",5.90%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,,
Reimbursement From Other Governments,,0,0,0,0.00%,0,"14,854","-14,854",-100.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,,0,0,0,0.00%,0,"14,854","-14,854",-100.00%
FINES AND FORFEITURES,,,,,,,,,
Automated Enforcement,,"8,753,663","7,703,413","1,050,250",13.60%,"85,367,583","83,698,126","1,669,457",2.00%
Other Fines & Forfeitures,,"640,030","562,286","77,744",13.80%,"7,075,645","7,347,324","-271,679",-3.70%
TOTAL FINES AND FORFEITURES,,"14,647,701","13,225,281","1,422,420",10.80%,"142,701,622","147,944,080","-5,242,458",-3.50%
MISCELLANEOUS REVENUE,,,,,,,,,
Other Transfer (WASA Pilot Program),,0,0,0,0.00%,"11,967,781","11,733,119","234,662",2.00%
Interest Income,,"-2,109,947","357,263","-2,467,210",-690.60%,"6,669,777","3,447,006","3,222,772",93.50%
Unclaimed Property,,"1,484,056","1,129,837","354,220",31.40%,"33,387,645","28,717,152","4,670,493",16.30%
Other Revenue,,"10,092,091","5,782,934","4,309,157",74.50%,"28,333,198","14,311,615","14,021,583",98.00%
TOTAL MISCELLANEOUS REVENUE,,"9,466,201","7,270,033","2,196,167",30.20%,"80,358,401","58,208,891","22,149,510",38.10%
TRANSFER FROM OTHER FUNDS,,,,,,,,,
Interfund Transfer,,0,0,0,0.00%,"126,494",0,"126,494",0.00%
Interfund-Transfers In,,0,0,0,0.00%,"13,254,601","1,434,076","11,820,525",824.30%
Legalized Gambling,,"4,100,000","5,400,000","-1,300,000",-24.10%,"35,000,000","45,716,862","-10,716,862",-23.40%
Special Purpose O-Type Revenue,,"46,452,426","42,815,515","3,636,911",8.50%,"465,019,851","429,351,228","35,668,623",8.30%
TOTAL TRANSFER FROM OTHER FUNDS,,"50,552,426","48,215,515","2,336,911",4.80%,"513,400,946","476,502,166","36,898,780",7.70%
TOTAL NON-TAX REVENUES,,"87,366,461","82,716,663","4,649,798",5.60%,"887,430,154","824,143,629","63,286,525",7.70%
TOTAL GENERAL FUND (GROSS),,"531,604,586","483,500,531","48,104,055",9.90%,"6,301,442,260","5,953,254,247","348,188,014",5.80%
"TAXCOLLECTIONS",,,,,,,,,
Parking Meters Dedicated to WMATA,,"6,308,423","6,266,780","41,643",0.70%,"61,578,964","60,672,571","906,393",1.50%
Plastic Bag fee,,"192,013","186,247","5,767",3.10%,"1,782,906","1,717,808","65,098",3.80%
TOTAL,,"6,500,436","6,453,027","47,410",0.70%,"63,361,870","62,390,379","971,491",1.60%
REFUNDS,,,,,,,,,
Personal Property Tax Refunds,,"38,232",140,"38,092",27218.10%,"157,464","880,654","-723,190",-82.10%
Real Property Tax Refunds,,"7,222,730","5,287,749","1,934,981",36.60%,"40,316,511","42,324,896","-2,008,385",-4.70%
Sales & Use Tax Refunds,,"222,369","172,323","50,047",29.00%,"1,768,276","1,606,151","162,125",10.10%
TOTAL REFUNDS,,"7,483,332","5,460,212","2,023,120",37.10%,"42,242,251","44,811,701","-2,569,450",-5.70%
CORPORATION FRANCHISE TAXES,,,,,,,,,
Declarations,,"1,063,674","1,504,247","-440,574",-29.30%,"89,315,103","29,115,201","60,199,902",206.80%
Payments,,"5,997,002","7,418,614","-1,421,612",-19.20%,"281,076,332","293,921,183","-12,844,852",-4.40%
Refunds,,"3,686,063","1,579,293","2,106,770",133.40%,"43,679,852","38,344,435","5,335,418",13.90%
TOTAL CORPORATION FRANCHISE TAXES,,"3,374,612","7,343,568","-3,968,955",-54.00%,"326,711,582","284,691,949","42,019,633",14.80%
INDIVIDUAL INCOME TAXES,,,,,,,,,
Declarations,,"2,756,507","2,774,734","-18,227",-0.70%,"230,301,410","246,718,191","-16,416,781",-6.70%
Fiducary,,"22,175","43,137","-20,962",-48.60%,"11,715,032","22,523,471","-10,808,439",-48.00%
Payments,,"6,428,656","5,403,449","1,025,207",19.00%,"235,270,619","260,220,201","-24,949,582",-9.60%
Refunds,,"7,759,400","9,172,586","-1,413,186",-15.40%,"375,693,228","352,320,812","23,372,416",6.60%
Withholding,,"154,753,365","130,270,981","24,482,384",18.80%,"1,461,178,466","1,358,368,677","102,809,789",7.60%
TOTAL INDIVIDUAL INCOME TAXES,,"156,201,304","129,319,717","26,881,587",20.80%,"1,562,772,299","1,535,509,727","27,262,572",1.80%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,,
Declarations,,"1,022,368","372,168","650,200",174.70%,"56,113,745","23,775,912","32,337,833",136.00%
Payments,,"1,835,420","1,575,401","260,019",16.50%,"97,823,681","117,505,301","-19,681,620",-16.70%
Refunds,,"1,040,966","757,477","283,489",37.40%,"15,705,374","9,879,595","5,825,780",59.00%
TOTAL UNINCORPORATED FRANCHISE TAXES,,"1,816,822","1,190,092","626,729",52.70%,"138,232,052","131,401,619","6,830,433",5.20%
"TAXCOLLECTIONS",,,,,,,,,
Ballpark Bonds,,"5,340,190","3,579,802","1,760,388",49.20%,"57,477,065","55,316,973","2,160,092",3.90%
Healthy DC Fund,,0,0,0,0.00%,"2,179,096","1,954,718","224,378",11.50%
Housing Production Trust Fund,,"5,565,114","6,747,994","-1,182,879",-17.50%,"52,539,634","52,265,023","274,611",0.50%
