"TAXCOLLECTIONS",,"MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
Ballpark Fee - Gross Receipts (gross),,"20,815,153","21,858,883","-1,043,730",-4.80%,"26,919,877","29,395,232","-2,475,355",-8.40%
Transfer to Ballpark Fund,,"20,815,153","21,858,883","-1,043,730",-4.80%,"26,919,877","29,395,232","-2,475,355",-8.40%
Ballpark Fee - Gross Reciepts (net),,0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),,"5,646,303","3,509,556","2,136,746",60.90%,"108,311,745","104,855,229","3,456,516",3.30%
Transfer to Healthy DC Fund,,0,"22,490","-22,490",-100.00%,"2,179,096","1,954,718","224,378",11.50%
Insurance Premiums (net),,"5,646,303","3,487,066","2,159,236",61.90%,"106,132,648","102,900,511","3,232,138",3.10%
Toll Telecommunications  (gross),,"8,163,756","4,184,126","3,979,630",95.10%,"37,528,790","41,328,656","-3,799,866",-9.20%
Transfer to Ballpark Fund,,"57,752","169,305","-111,552",-65.90%,"1,633,082","2,062,347","-429,265",-20.80%
Toll Telecommunications  (net),,"8,106,004","4,014,822","4,091,183",101.90%,"35,895,708","39,266,309","-3,370,601",-8.60%
TOTAL GROSS RECEIPTS TAXES (net),,,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,,
TOTAL OTHER TAXES (gross),,"40,835,916","48,208,291","-7,372,376",-15.30%,"360,364,506","359,288,931","1,075,575",0.30%
Estate,,"1,464,343","2,369,396","-905,053",-38.20%,"28,609,172","41,878,406","-13,269,234",-31.70%
Deed Recordation  (gross),,"22,624,305","28,380,349","-5,756,043",-20.30%,"178,167,324","179,623,932","-1,456,607",-0.80%
Transfer to HPTF,,"3,238,778","2,957,496","281,283",9.50%,"26,453,862","26,533,021","-79,159",-0.30%
Deed Recordation  (net),,"19,385,527","25,422,853","-6,037,326",-23.70%,"151,713,462","153,090,910","-1,377,448",-0.90%
Deed Transfer  (gross),,"16,076,063","16,606,275","-530,212",-3.20%,"134,827,098","126,690,901","8,136,197",6.40%
Transfer to HPTF,,"2,570,468","2,277,025","293,443",12.90%,"20,520,657","18,984,008","1,536,649",8.10%
Deed Transfer  (net),,"13,505,595","14,329,250","-823,656",-5.70%,"114,306,440","107,706,893","6,599,548",6.10%
Economic Interest (gross),,"671,205","852,272","-181,067",-21.20%,"18,760,912","11,095,693","7,665,219",69.10%
Coop Recordation (net),,"646,584","810,947","-164,363",-20.30%,"4,245,998","4,492,441","-246,443",-5.50%
Economic Interest (net),,"24,621","41,325","-16,704",-40.40%,"14,470,689","6,527,637","7,943,053",121.70%
TOTAL OTHER TAXES (net),,"35,026,669","42,973,771","-7,947,102",-18.50%,"313,345,761","313,696,287","-350,526",-0.10%
TOTAL TAX COLLECTIONS (gross),,"506,255,769","465,575,162","40,680,607",8.70%,"4,970,759,923","4,728,326,750","242,433,173",5.10%
TOTAL TAX COLLECTIONS (net),,"417,688,645","409,534,885","8,153,760",2.00%,"4,616,539,085","4,424,237,475","192,301,610",4.30%
LICENSES AND PERMITS,,,,,,,,,
Business Licenses & Permits,,"5,546,312","3,967,008","1,579,304",39.80%,"44,011,852","40,428,350","3,583,502",8.90%
Nonbusiness Licenses & Permits,,"6,884,730","2,823,147","4,061,583",143.90%,"27,520,639","24,228,901","3,291,737",13.60%
TOTAL LICENSES AND PERMITS,,"12,431,042","6,790,155","5,640,887",83.10%,"71,532,491","64,657,251","6,875,239",10.60%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,,
Other Charges For Services,,"7,837,124","5,867,933","1,969,191",33.60%,"57,048,640","53,040,768","4,007,872",7.60%
Rentals,,"1,248,828","1,336,829","-88,001",-6.60%,"9,711,097","9,769,781","-58,684",-0.60%
Parking Meters,,0,0,0,0.00%,0,0,0,0.00%
Tuitions,,0,0,0,0.00%,0,3,-3,-100.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,,"9,085,952","7,204,762","1,881,190",26.10%,"66,759,737","62,810,553","3,949,184",6.30%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,,
Reimbursement From Other Governments,,0,0,0,0.00%,0,"14,854","-14,854",-100.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,,0,0,0,0.00%,0,"14,854","-14,854",-100.00%
FINES AND FORFEITURES,,,,,,,,,
Other Fines & Forfeitures,,"613,538","698,622","-85,083",-12.20%,"6,435,615","6,785,038","-349,423",-5.10%
Traffic Fines,,"9,477,915","8,701,927","775,988",8.90%,"45,004,386","51,939,048","-6,934,662",-13.40%
TOTAL FINES AND FORFEITURES,,"25,777,615","20,936,121","4,841,494",23.10%,"128,053,921","134,718,799","-6,664,878",-4.90%
MISCELLANEOUS REVENUE,,,,,,,,,
Other Transfer (WASA Pilot Program),,0,0,0,0.00%,"11,967,781","11,733,119","234,662",2.00%
Interest Income,,"-1,010,682","669,117","-1,679,799",-251.00%,"5,862,289","3,089,743","2,772,547",89.70%
Unclaimed Property,,"-5,981,665","-6,109,249","127,583",-2.10%,"31,903,589","27,587,316","4,316,273",15.60%
Other Revenue,,"2,724,439","1,024,803","1,699,636",165.80%,"18,243,711","8,528,681","9,715,029",113.90%
TOTAL MISCELLANEOUS REVENUE,,"-4,267,908","-4,415,329","147,421",-3.30%,"67,977,369","50,938,858","17,038,512",33.40%
TRANSFER FROM OTHER FUNDS,,,,,,,,,
Interfund Transfer,,"126,494",0,"126,494",0.00%,"126,494",0,"126,494",0.00%
Interfund-Transfers In,,"12,163,821",0,"12,163,821",0.00%,"13,254,601","1,434,076","11,820,525",824.30%
Legalized Gambling,,"3,700,000","4,850,000","-1,150,000",-23.70%,"30,900,000","40,316,862","-9,416,862",-23.40%
Special Purpose O-Type Revenue,,"37,057,178","33,369,361","3,687,817",11.10%,"418,654,051","386,535,713","32,118,338",8.30%
TOTAL TRANSFER FROM OTHER FUNDS,,"53,047,493","38,219,361","14,828,132",38.80%,"462,935,146","428,286,651","34,648,495",8.10%
TOTAL NON-TAX REVENUES,,"96,074,195","68,735,071","27,339,124",39.80%,"797,258,664","741,426,966","55,831,698",7.50%
TOTAL GENERAL FUND (GROSS),,"602,329,963","534,310,232","68,019,731",12.70%,"5,768,018,587","5,469,753,716","298,264,871",5.50%
"TAXCOLLECTIONS",,,,,,,,,
Parking Meters Dedicated to WMATA,,"6,222,863","6,080,167","142,696",2.30%,"55,270,541","54,405,791","864,750",1.60%
Plastic Bag fee,,"221,753","183,027","38,726",21.20%,"1,590,893","1,531,561","59,332",3.90%
TOTAL,,"6,444,616","6,263,194","181,422",2.90%,"56,861,434","55,937,352","924,082",1.70%
REFUNDS,,,,,,,,,
Personal Property Tax Refunds,,"36,218","100,538","-64,320",-64.00%,"119,232","880,514","-761,281",-86.50%
Real Property Tax Refunds,,"6,056,913","8,764,143","-2,707,230",-30.90%,"33,093,781","37,037,147","3,943,366",10.60%
Sales & Use Tax Refunds,,"196,540","359,987","-163,447",-45.40%,"1,545,907","1,433,829","112,078",7.80%
TOTAL REFUNDS,,"6,289,671","9,224,668","-2,934,997",-31.80%,"34,758,920","39,351,489","-4,592,570",-11.70%
CORPORATION FRANCHISE TAXES,,,,,,,,,
Declarations,,"4,026,345","8,004,145","-3,977,800",-49.70%,"88,251,429","27,610,953","60,640,475",219.60%
Payments,,"67,780,149","51,362,139","16,418,009",32.00%,"275,079,330","286,502,570","-11,423,239",-4.00%
Refunds,,"15,379,866","8,271,230","7,108,636",85.90%,"39,993,789","36,765,141","3,228,648",8.80%
TOTAL CORPORATION FRANCHISE TAXES,,"56,426,627","51,095,054","5,331,573",10.40%,"323,336,970","277,348,382","45,988,588",16.60%
INDIVIDUAL INCOME TAXES,,,,,,,,,
Declarations,,"56,596,389","61,392,529","-4,796,139",-7.80%,"227,544,903","243,943,457","-16,398,554",-6.70%
Fiducary,,"1,624,380","782,723","841,657",107.50%,"11,692,857","22,480,333","-10,787,476",-48.00%
Payments,,"12,775,114","6,095,766","6,679,348",109.60%,"228,841,963","254,816,751","-25,974,789",-10.20%
Refunds,,"14,031,388","14,835,118","-803,730",-5.40%,"367,933,828","343,148,227","24,785,601",7.20%
Withholding,,"122,853,882","115,446,590","7,407,291",6.40%,"1,306,425,101","1,228,097,696","78,327,405",6.40%
TOTAL INDIVIDUAL INCOME TAXES,,"179,818,377","168,882,490","10,935,887",6.50%,"1,406,570,995","1,406,190,010","380,985",0.00%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,,
Declarations,,"4,246,498","6,458,590","-2,212,092",-34.30%,"55,091,377","23,403,744","31,687,633",135.40%
Payments,,"17,313,213","17,352,225","-39,012",-0.20%,"95,988,262","115,929,900","-19,941,639",-17.20%
Refunds,,"2,457,373","709,222","1,748,151",246.50%,"14,664,408","9,122,118","5,542,290",60.80%
TOTAL UNINCORPORATED FRANCHISE TAXES,,"19,102,338","23,101,593","-3,999,255",-17.30%,"136,415,230","130,211,526","6,203,704",4.80%
"TAXCOLLECTIONS",,,,,,,,,
Ballpark Bonds,,"23,146,665","24,482,598","-1,335,932",-5.50%,"52,136,875","51,737,172","399,704",0.80%
Healthy DC Fund,,0,"22,490","-22,490",-100.00%,"2,179,096","1,954,718","224,378",11.50%
Housing Production Trust Fund,,"5,809,247","5,234,521","574,726",11.00%,"46,974,520","45,517,029","1,457,491",3.20%
