"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
Economic Interest (gross),"457,040","316,943","140,097",44.20%,"8,976,659","12,612,173","-3,635,514",-28.80%
Coop Recordation (net),"354,098","298,673","55,425",18.60%,"2,414,732","2,456,039","-41,307",-1.70%
Economic Interest (net),"102,942","18,270","84,672",463.40%,"6,486,312","10,156,134","-3,669,822",-36.10%
TOTAL OTHER TAXES (net),"39,164,460","46,210,478","-7,046,018",-15.20%,"199,181,990","244,567,612","-45,385,622",-18.60%
TOTAL TAX COLLECTIONS (gross),"1,090,123,108","987,637,633","102,485,474",10.40%,"2,884,622,955","2,834,618,029","50,004,925",1.80%
TOTAL TAX COLLECTIONS (net),"1,047,402,592","964,252,624","83,149,968",8.60%,"2,718,581,748","2,679,693,501","38,888,247",1.50%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"7,217,175","9,209,360","-1,992,184",-21.60%,"26,846,406","23,877,283","2,969,123",12.40%
Nonbusiness Licenses & Permits,"3,229,246","3,184,645","44,602",1.40%,"15,996,696","15,936,780","59,916",0.40%
TOTAL LICENSES AND PERMITS,"10,446,422","12,394,004","-1,947,583",-15.70%,"42,843,101","39,814,063","3,029,038",7.60%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"10,235,005","10,462,171","-227,166",-2.20%,"36,290,561","33,477,860","2,812,701",8.40%
Rentals,"652,475","1,374,275","-721,800",-52.50%,"6,425,949","6,690,118","-264,169",-3.90%
Parking Meters,0,0,0,0.00%,0,875,-875,-100.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"10,887,480","11,836,446","-948,966",-8.00%,"42,716,511","40,168,853","2,547,658",6.30%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,"14,854",0,"14,854",0.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,"14,854",0,"14,854",0.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"8,467,133","1,874,573","6,592,560",351.70%,"48,719,282","20,080,163","28,639,119",142.60%
Traffic Fines,"5,676,617","3,798,719","1,877,897",49.40%,"34,381,713","31,414,252","2,967,461",9.40%
TOTAL FINES AND FORFEITURES,"15,064,364","6,252,280","8,812,084",140.90%,"87,732,046","54,278,813","33,453,233",61.60%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),"3,911,040","157,688","3,753,352",2380.20%,"7,822,079","2,270,705","5,551,374",244.50%
Interest Income,"128,087","-167,232","295,319",-176.60%,"1,358,183","407,921","950,263",233.00%
Unclaimed Property,"-53,423","-222,119","168,696",-75.90%,"28,602,427","31,836,300","-3,233,873",-10.20%
Other Revenue,"942,635","22,298,755","-21,356,120",-95.80%,"5,458,941","30,961,848","-25,502,907",-82.40%
Private Grants,0,0,0,0.00%,0,0,0,0.00%
TOTAL MISCELLANEOUS REVENUE,"4,928,339","22,067,092","-17,138,753",-77.70%,"43,241,631","65,476,774","-22,235,143",-34.00%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,"2,603,746","-2,603,746",-100.00%,"1,434,076","2,603,746","-1,169,671",-44.90%
Legalized Gambling,"4,200,000","9,004,573","-4,804,573",-53.40%,"29,216,862","27,013,365","2,203,497",8.20%
Special Purpose O-Type Revenue,"51,547,919","49,310,947","2,236,972",4.50%,"249,670,496","226,255,256","23,415,240",10.30%
TOTAL TRANSFER FROM OTHER FUNDS,"55,747,919","60,919,266","-5,171,347",-8.50%,"280,321,434","255,872,367","24,449,067",9.60%
TOTAL NON-TAX REVENUES,"97,074,523","113,469,088","-16,394,565",-14.40%,"496,869,578","455,610,871","41,258,707",9.10%
TOTAL GENERAL FUND (GROSS),"1,187,197,631","1,101,106,721","86,090,909",7.80%,"3,381,492,532","3,290,228,900","91,263,632",2.80%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"TAXCOLLECTIONS",,,,,,,,
,,,,,,,,
,,,,,,,,
Parking Meters Dedicated to WMATA,,,,,,,,
Plastic Bag fee,,,,,,,,
TOTAL,,,,,,,,
REFUNDS,,,,,,,,
Personal Property Tax Refunds,,,,,,,,
Real Property Tax Refunds,,,,,,,,
Sales & Use Tax Refunds,,,,,,,,
TOTAL REFUNDS,,,,,,,,
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,,,,,,,,
Payments,,,,,,,,
Refunds,,,,,,,,
TOTAL CORPORATION FRANCHISE TAXES,,,,,,,,
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,,,,,,,,
Fiducary,,,,,,,,
Payments,,,,,,,,
Refunds,,,,,,,,
Withholding,,,,,,,,
TOTAL INDIVIDUAL INCOME TAXES,,,,,,,,
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,,,,,,,,
Payments,,,,,,,,
Refunds,,,,,,,,
TOTAL UNINCORPORATED FRANCHISE TAXES,,,,,,,,
TAX,,,,,,,,
COLLECTIONS,,,,,,,,
,,,,,,,,
Ballpark Bonds,,,,,,,,
Healthy DC Fund,,,,,,,,
Housing Production Trust Fund,,,,,,,,
