"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
General Sales And Use Tax (net),"68,040,657","69,251,489","-1,210,833",-1.70%,"444,667,227","424,364,370","20,302,857",4.80%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"68,040,657","69,251,489","-1,210,833",-1.70%,"444,667,227","424,364,370","20,302,857",4.80%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"409,343","360,881","48,461",13.40%,"2,776,211","2,479,329","296,882",12.00%
Cigarette,"1,747,594","1,789,098","-41,503",-2.30%,"12,033,102","10,512,934","1,520,168",14.50%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,"-1,644","1,644",-100.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,"-1,644","1,644",-100.00%
Motor Vehicle Excise Tax Gross Coll,"3,447,455","3,190,188","257,268",8.10%,"18,363,591","19,064,843","-701,252",-3.70%
TOTAL SELECTIVE SALES TAXES (net),"5,604,392","5,340,167","264,225",4.90%,"33,172,904","32,055,462","1,117,442",3.50%
TOTAL SALES TAXES (net),"73,645,049","74,591,656","-946,607",-1.30%,"477,840,130","456,419,831","21,420,299",4.70%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"91,816,600","81,577,990","10,238,611",12.60%,"897,230,791","837,347,819","59,882,972",7.20%
Individual Income,"78,839,647","78,144,585","695,062",0.90%,"757,636,597","718,156,294","39,480,304",5.50%
Corporate Franchise,"11,049,697","2,358,363","8,691,334",368.50%,"101,463,047","75,079,258","26,383,789",35.10%
U.B. Franchise,"1,927,256","1,075,042","852,215",79.30%,"38,131,147","44,112,267","-5,981,120",-13.60%
TOTAL INCOME AND FRANCHISE TAXES (net),"91,816,600","81,577,990","10,238,611",12.60%,"897,230,791","837,347,819","59,882,972",7.20%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"49,588,628","42,102,201","7,486,427",17.80%,"116,820,248","116,783,053","37,195",0.00%
Hospital Bed Tax (gross),0,0,0,0.00%,0,"159,715","-159,715",-100.00%
Hospital Bed Tax (net),0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (gross),0,"1,738,584","-1,738,584",-100.00%,0,"1,738,584","-1,738,584",-100.00%
Transfer to Steve Sellows,0,"1,738,584","-1,738,584",-100.00%,0,"1,738,584","-1,738,584",-100.00%
ICF-MR Assesment (net),0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"1,188,722","-637,901","1,826,623",-286.30%,"2,685,051","5,956,448","-3,271,397",-54.90%
Transfer to Nursing facility Quality of Care Fund,"1,188,722","-637,901","1,826,623",-286.30%,"2,685,051","5,956,448","-3,271,397",-54.90%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"12,705,899","11,858,900","847,000",7.10%,"51,807,459","57,350,207","-5,542,749",-9.70%
Transfer to Ballpark Fund,"1,176,657","817,148","359,509",44.00%,"3,112,457","3,469,109","-356,652",-10.30%
Public Utilities (net),"11,529,243","11,041,752","487,491",4.40%,"48,695,002","53,881,098","-5,186,097",-9.60%
Ballpark Fee - Gross Receipts (gross),"558,356","585,305","-26,949",-4.60%,"2,391,202","4,238,830","-1,847,628",-43.60%
Transfer to Ballpark Fund,"558,356","585,305","-26,949",-4.60%,"2,391,202","4,238,830","-1,847,628",-43.60%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"27,347,477","24,065,832","3,281,645",13.60%,"28,983,549","25,366,851","3,616,698",14.30%
Transfer to Healthy DC Fund,"732,267","388,119","344,148",88.70%,"746,642","425,619","321,023",75.40%
Insurance Premiums (net),"26,615,210","23,677,713","2,937,497",12.40%,"28,236,907","24,941,231","3,295,676",13.20%
Toll Telecommunications  (gross),"7,760,770","4,491,481","3,269,289",72.80%,"24,285,893","21,972,419","2,313,474",10.50%
Transfer to Ballpark Fund,"239,290","185,952","53,337",28.70%,"1,116,638","1,046,276","70,363",6.70%
Toll Telecommunications  (net),"7,521,481","4,305,529","3,215,952",74.70%,"23,169,255","20,926,143","2,243,112",10.70%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"37,387,610","35,842,303","1,545,306",4.30%,"183,387,821","228,797,466","-45,409,646",-19.80%
Estate,"8,817,097","5,295,326","3,521,772",66.50%,"24,234,132","14,602,861","9,631,272",66.00%
Deed Recordation  (gross),"13,519,934","16,143,819","-2,623,886",-16.30%,"84,144,280","112,196,809","-28,052,529",-25.00%
Transfer to HPTF,-189,"2,666,359","-2,666,548",-100.00%,"13,173,199","17,080,379","-3,907,180",-22.90%
Deed Recordation  (net),"13,520,122","13,477,460","42,662",0.30%,"70,971,081","95,116,430","-24,145,350",-25.40%
Deed Transfer  (gross),"9,048,357","13,766,978","-4,718,620",-34.30%,"66,489,790","89,702,567","-23,212,777",-25.90%
Transfer to HPTF,0,"2,399,373","-2,399,373",-100.00%,"10,121,477","13,359,954","-3,238,477",-24.20%
Deed Transfer  (net),"9,048,357","11,367,605","-2,319,247",-20.40%,"56,368,313","76,342,613","-19,974,300",-26.20%
Economic Interest (gross),"6,002,221","636,181","5,366,040",843.50%,"8,519,619","12,295,230","-3,775,611",-30.70%
Coop Recordation (net),"251,522","291,725","-40,203",-13.80%,"2,060,634","2,157,366","-96,732",-4.50%
Economic Interest (net),"5,675,084","344,456","5,330,628",1547.60%,"6,383,369","10,137,864","-3,754,495",-37.00%
TOTAL OTHER TAXES (net),"37,312,183","30,776,572","6,535,611",21.20%,"160,017,529","198,357,134","-38,339,604",-19.30%
TOTAL TAX COLLECTIONS (gross),"269,059,151","249,353,174","19,705,977",7.90%,"1,794,498,236","1,846,980,396","-52,482,160",-2.80%
TOTAL TAX COLLECTIONS (net),"249,231,540","227,849,470","21,382,070",9.40%,"1,671,177,545","1,715,440,878","-44,263,332",-2.60%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"3,337,126","2,340,685","996,441",42.60%,"19,629,230","14,667,923","4,961,307",33.80%
Nonbusiness Licenses & Permits,"2,615,293","2,379,447","235,846",9.90%,"12,767,449","12,752,135","15,314",0.10%
TOTAL LICENSES AND PERMITS,"5,952,420","4,720,133","1,232,287",26.10%,"32,396,680","27,420,059","4,976,621",18.10%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"5,750,212","5,526,133","224,079",4.10%,"26,055,556","23,015,689","3,039,868",13.20%
Rentals,"2,038,582","778,413","1,260,169",161.90%,"5,773,475","5,315,843","457,632",8.60%
Parking Meters,0,0,0,0.00%,0,875,-875,-100.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"7,788,794","6,304,546","1,484,248",23.50%,"31,829,031","28,332,407","3,496,624",12.30%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,151,0,151,0.00%,"14,854",0,"14,854",0.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,151,0,151,0.00%,"14,854",0,"14,854",0.00%
FINES AND FORFEITURES,,,,,,,,
Other Fines & Forfeitures,"714,313","462,024","252,288",54.60%,"3,710,436","2,205,411","1,505,026",68.20%
Traffic Fines,"6,602,480","6,859,785","-257,306",-3.80%,"28,705,097","27,615,533","1,089,564",3.90%
TOTAL FINES AND FORFEITURES,"17,024,892","11,673,840","5,351,053",45.80%,"72,667,682","48,026,533","24,641,149",51.30%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),0,0,0,0.00%,"3,911,040","2,113,018","1,798,022",85.10%
Interest Income,"374,772","112,178","262,595",234.10%,"1,230,097","575,153","654,944",113.90%
Unclaimed Property,"903,752","222,446","681,306",306.30%,"28,655,850","32,058,419","-3,402,569",-10.60%
Other Revenue,"968,082","1,439,348","-471,266",-32.70%,"4,578,686","8,663,093","-4,084,408",-47.10%
Private Grants,0,0,0,0.00%,0,0,0,0.00%
TOTAL MISCELLANEOUS REVENUE,"2,246,607","1,773,971","472,635",26.60%,"38,375,671","43,409,682","-5,034,011",-11.60%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,0.00%,"1,434,076",0,"1,434,076",0.00%
Legalized Gambling,"4,586,862",0,"4,586,862",0.00%,"25,016,862","18,008,792","7,008,070",38.90%
Special Purpose O-Type Revenue,"54,804,960","24,434,480","30,370,480",124.30%,"198,103,940","176,944,310","21,159,631",12.00%
TOTAL TRANSFER FROM OTHER FUNDS,"59,391,822","24,434,480","34,957,342",143.10%,"224,554,878","194,953,102","29,601,776",15.20%
TOTAL NON-TAX REVENUES,"92,404,686","48,906,970","43,497,716",88.90%,"399,838,796","342,141,783","57,697,014",16.90%
TOTAL GENERAL FUND (GROSS),"361,463,837","298,260,144","63,203,693",21.20%,"2,194,337,032","2,189,122,179","5,214,853",0.20%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"5,087,846","4,000,152","1,087,694",27.20%,"30,411,434","26,612,305","3,799,129",14.30%
Plastic Bag fee,"223,397","219,974","3,423",1.60%,"792,705","765,055","27,650",3.60%
TOTAL,"5,311,243","4,220,126","1,091,117",25.90%,"31,204,139","27,377,360","3,826,779",14.00%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,"112,582","10,383","102,199",984.30%,"745,903","89,664","656,238",731.90%
Real Property Tax Refunds,"3,516,496","2,743,350","773,145",28.20%,"16,403,969","20,844,306","4,440,337",21.30%
Sales & Use Tax Refunds,"222,419","120,718","101,701",84.20%,"631,829","1,107,929","476,100",43.00%
TOTAL REFUNDS,"3,851,497","2,874,451","977,046",34.00%,"17,781,700","22,041,899","4,260,199",19.30%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"666,757","439,242","227,515",51.80%,"12,925,691","12,043,157","882,535",7.30%
Payments,"10,217,158","6,008,912","4,208,246",70.00%,"106,836,203","91,103,720","15,732,483",17.30%
Refunds,"165,782","4,046,652","4,212,434",104.10%,"18,135,655","27,992,053","9,856,398",35.20%
TOTAL CORPORATION FRANCHISE TAXES,"11,049,697","2,401,501","8,648,196",360.10%,"101,626,239","75,154,824","26,471,416",35.20%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"3,135,197","1,808,384","1,326,813",73.40%,"138,625,304","127,626,060","10,999,244",8.60%
Fiducary,"73,439","45,975","27,464",59.70%,"1,870,964","1,567,087","303,877",19.40%
Payments,"5,750,539","4,815,885","934,654",19.40%,"40,371,186","33,866,888","6,504,298",19.20%
Refunds,"68,119,038","71,849,834","3,730,796",5.20%,"107,315,616","113,515,026","6,199,410",5.50%
Withholding,"138,005,684","143,324,176","-5,318,491",-3.70%,"684,175,499","668,611,285","15,564,214",2.30%
TOTAL INDIVIDUAL INCOME TAXES,"78,845,821","78,144,585","701,236",0.90%,"757,727,336","718,156,294","39,571,042",5.50%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"179,856","268,803","-88,947",-33.10%,"11,055,394","9,632,350","1,423,044",14.80%
Payments,"1,844,735","1,138,590","706,145",62.00%,"31,970,257","37,995,097","-6,024,840",-15.90%
Refunds,"97,335","332,351","235,017",70.70%,"4,894,504","3,515,180","1,379,324",39.20%
TOTAL UNINCORPORATED FRANCHISE TAXES,"1,927,256","1,075,042","852,215",79.30%,"38,131,147","44,112,267","5,981,120",13.60%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"2,941,868","3,315,687","-373,819",-11.30%,"12,135,389","13,000,931","-865,543",-6.70%
Healthy DC Fund,"732,267","388,119","344,148",88.70%,"746,642","425,619","321,023",75.40%
Housing Production Trust Fund,-189,"5,065,732","-5,065,920",-100.00%,"23,294,676","30,440,332","-7,145,656",-23.50%
