"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Excise Tax Gross Coll,"3,359,632","3,447,455","-87,823",-2.50%,"18,520,326","18,363,591","156,735",0.90%
TOTAL SELECTIVE SALES TAXES (net),"5,956,934","5,604,392","352,542",6.30%,"33,686,057","33,172,904","513,154",1.50%
TOTAL SALES TAXES (net),"96,615,187","73,645,049","22,970,139",31.20%,"521,952,451","477,840,130","44,112,321",9.20%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"81,883,466","91,816,600","-9,933,134",-10.80%,"920,050,861","897,230,791","22,820,070",2.50%
Individual Income,"74,938,823","78,839,647","-3,900,824",-4.90%,"753,803,239","757,636,597","-3,833,358",-0.50%
Corporate Franchise,"5,582,259","11,049,697","-5,467,438",-49.50%,"128,020,506","101,463,047","26,557,459",26.20%
U.B. Franchise,"1,362,384","1,927,256","-564,872",-29.30%,"38,227,116","38,131,147","95,969",0.30%
TOTAL INCOME AND FRANCHISE TAXES (net),"81,883,466","91,816,600","-9,933,134",-10.80%,"920,050,861","897,230,791","22,820,070",2.50%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"40,007,677","49,588,628","-9,580,951",-19.30%,"112,942,972","116,820,248","-3,877,276",-3.30%
Hospital Bed Tax,0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment,0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"1,057,836","1,188,722","-130,886",-11.00%,"3,779,147","2,685,051","1,094,096",40.70%
Transfer to Nursing facility Quality of Care Fund,"1,057,836","1,188,722","-130,886",-11.00%,"3,779,147","2,685,051","1,094,096",40.70%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"13,176,821","12,705,899","470,922",3.70%,"56,011,161","51,807,459","4,203,702",8.10%
Transfer to Ballpark Fund,"663,907","1,176,657","-512,750",-43.60%,"3,259,778","3,112,457","147,321",4.70%
Public Utilities (net),"12,512,914","11,529,243","983,671",8.50%,"52,751,383","48,695,002","4,056,381",8.30%
Ballpark Fee - Gross Receipts (gross),"362,306","558,356","-196,050",-35.10%,"2,939,538","2,391,202","548,336",22.90%
Transfer to Ballpark Fund,"362,306","558,356","-196,050",-35.10%,"2,939,538","2,391,202","548,336",22.90%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"21,562,718","27,347,477","-5,784,759",-21.20%,"23,665,330","28,983,549","-5,318,219",-18.30%
Transfer to Healthy DC Fund,"845,814","732,267","113,547",15.50%,"958,527","746,642","211,885",28.40%
Insurance Premiums (net),"20,716,904","26,615,210","-5,898,306",-22.20%,"22,706,803","28,236,907","-5,530,104",-19.60%
Toll Telecommunications  (gross),"3,859,285","7,760,770","-3,901,485",-50.30%,"19,874,472","24,285,893","-4,411,421",-18.20%
Transfer to Ballpark Fund,"212,353","239,290","-26,936",-11.30%,"991,991","1,116,638","-124,648",-11.20%
Toll Telecommunications  (net),"3,646,932","7,521,481","-3,874,548",-51.50%,"18,882,481","23,169,255","-4,286,773",-18.50%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"29,470,458","37,387,610","-7,917,152",-21.20%,"190,967,529","183,387,821","7,579,709",4.10%
Estate,"567,979","8,817,097","-8,249,118",-93.60%,"15,149,627","24,234,132","-9,084,505",-37.50%
Deed Recordation  (gross),"16,620,641","13,519,934","3,100,708",22.90%,"92,092,494","84,144,280","7,948,214",9.40%
Transfer to HPTF,"3,175,059",-189,"3,175,247",-1684481.30%,"14,322,155","13,173,199","1,148,956",8.70%
Deed Recordation  (net),"13,445,582","13,520,122","-74,540",-0.60%,"77,770,339","70,971,081","6,799,258",9.60%
Deed Transfer  (gross),"12,037,667","9,048,357","2,989,309",33.00%,"67,269,446","66,489,790","779,656",1.20%
Transfer to HPTF,"2,109,739",0,"2,109,739",0.00%,"10,864,547","10,121,477","743,070",7.30%
Deed Transfer  (net),"9,927,928","9,048,357","879,570",9.70%,"56,404,899","56,368,313","36,586",0.10%
Economic Interest (gross),"244,171","6,002,221","-5,758,050",-95.90%,"16,455,963","8,519,619","7,936,344",93.20%
Coop Recordation (net),"244,171","251,522","-7,351",-2.90%,"1,969,390","2,060,634","-91,244",-4.40%
Economic Interest (net),0,"5,675,084","-5,675,084",-100.00%,"14,442,347","6,383,369","8,058,978",126.20%
TOTAL OTHER TAXES (net),"24,185,660","37,312,183","-13,126,523",-35.20%,"165,736,602","160,017,529","5,719,073",3.60%
TOTAL TAX COLLECTIONS (gross),"270,204,036","269,060,762","1,143,274",0.40%,"1,895,881,568","1,794,499,847","101,381,721",5.60%
TOTAL TAX COLLECTIONS (net),"243,752,267","249,233,151","-5,480,885",-2.20%,"1,739,334,576","1,671,179,157","68,155,420",4.10%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"3,664,250","3,337,126","327,124",9.80%,"17,105,735","19,629,230","-2,523,496",-12.90%
Nonbusiness Licenses & Permits,"2,556,948","2,615,293","-58,345",-2.20%,"14,832,675","12,767,449","2,065,226",16.20%
TOTAL LICENSES AND PERMITS,"6,221,199","5,952,420","268,779",4.50%,"31,938,410","32,396,680","-458,270",-1.40%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"6,116,696","5,750,212","366,484",6.40%,"29,040,569","26,055,556","2,985,013",11.50%
Rentals,"1,091,513","2,038,582","-947,068",-46.50%,"5,315,034","5,773,475","-458,441",-7.90%
Tuitions,0,0,0,0.00%,0,0,0,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"7,208,209","7,788,794","-580,585",-7.50%,"34,355,603","31,829,031","2,526,572",7.90%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,151,-151,-100.00%,0,"14,854","-14,854",-100.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"10,096,100","9,708,100","388,000",4.00%,"40,392,985","40,252,149","140,835",0.30%
Other Fines & Forfeitures,"748,465","714,313","34,152",4.80%,"3,577,088","3,710,436","-133,348",-3.60%
Traffic Fines,"5,443,145","6,602,480","-1,159,334",-17.60%,"25,372,619","28,705,097","-3,332,478",-11.60%
TOTAL FINES AND FORFEITURES,"16,287,710","17,024,892","-737,182",-4.30%,"69,342,691","72,667,682","-3,324,991",-4.60%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),"3,989,260",0,"3,989,260",0.00%,"7,978,521","3,911,040","4,067,481",104.00%
Interest Income,"-63,942","374,772","-438,714",-117.10%,"1,183,016","1,230,097","-47,081",-3.80%
Unclaimed Property,"1,078,243","903,752","174,491",19.30%,"32,402,980","28,655,850","3,747,131",13.10%
Other Revenue,"8,960,058","905,703","8,054,355",889.30%,"26,394,876","4,516,306","21,878,569",484.40%
TOTAL MISCELLANEOUS REVENUE,"13,963,619","2,184,228","11,779,392",539.30%,"67,959,392","38,313,292","29,646,100",77.40%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,0.00%,"1,090,780","1,434,076","-343,296",-23.90%
Legalized Gambling,"2,000,000","4,586,862","-2,586,862",-56.40%,"18,800,000","25,016,862","-6,216,862",-24.90%
Special Purpose O-Type Revenue,"28,660,351","54,823,598","-26,163,247",-47.70%,"218,125,870","198,122,578","20,003,292",10.10%
TOTAL TRANSFER FROM OTHER FUNDS,"30,660,351","59,410,460","-28,750,109",-48.40%,"238,016,650","224,573,515","13,443,135",6.00%
TOTAL NON-TAX REVENUES,"74,341,088","92,360,944","-18,019,856",-19.50%,"441,612,746","399,795,055","41,817,691",10.50%
TOTAL GENERAL FUND (GROSS),"344,545,124","361,421,706","-16,876,582",-4.70%,"2,337,494,314","2,194,294,902","143,199,412",6.50%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"5,548,158","5,087,846","460,312",9.00%,"31,099,401","30,411,434","687,967",2.30%
Plastic Bag fee,"218,202","223,397","-5,195",-2.30%,"820,634","792,705","27,929",3.50%
TOTAL,"5,766,360","5,311,243","455,117",8.60%,"31,920,035","31,204,139","715,896",2.30%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,"35,436","112,582","-77,146",-68.50%,"-57,628","-745,903","688,274",92.30%
Real Property Tax Refunds,"1,952,765","3,516,496","-1,563,731",-44.50%,"-14,639,284","-16,403,969","1,764,685",10.80%
Sales & Use Tax Refunds,"182,007","222,419","-40,412",-18.20%,"-1,054,205","-631,829","-422,376",-66.80%
TOTAL REFUNDS,"2,170,209","3,851,497","-1,681,289",-43.70%,"-15,751,117","-17,781,700","2,030,584",11.40%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"-389,055","666,757","-1,055,812",-158.40%,"60,571,314","12,925,691","47,645,623",368.60%
Payments,"9,116,636","10,217,158","-1,100,522",-10.80%,"78,104,426","106,836,203","-28,731,777",-26.90%
Refunds,"3,058,450","165,782","3,224,232",1944.90%,"-10,464,631","-18,135,655","7,671,024",42.30%
TOTAL CORPORATION FRANCHISE TAXES,"5,669,131","11,049,697","-5,380,566",-48.70%,"128,211,110","101,626,239","26,584,870",26.20%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"1,955,106","3,135,197","-1,180,092",-37.60%,"134,105,770","138,625,304","-4,519,534",-3.30%
Fiducary,"64,146","73,439","-9,292",-12.70%,"1,618,352","1,870,964","-252,612",-13.50%
Payments,"808,847","5,750,539","-4,941,692",-85.90%,"30,706,932","40,371,186","-9,664,254",-23.90%
Refunds,"85,474,462","68,119,038","17,355,424",25.50%,"-136,304,694","-107,315,616","-28,989,077",-27.00%
Withholding,"158,389,141","138,005,684","20,383,457",14.80%,"725,280,362","684,175,499","41,104,863",6.00%
TOTAL INDIVIDUAL INCOME TAXES,"75,742,778","78,845,821","-3,103,043",-3.90%,"755,406,721","757,727,336","-2,320,614",-0.30%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"-222,881","179,856","-402,737",-223.90%,"28,250,895","11,055,394","17,195,502",155.50%
Payments,"3,287,411","1,844,735","1,442,676",78.20%,"15,361,712","31,970,257","-16,608,545",-51.90%
Refunds,"1,702,146","97,335","1,604,811",1648.80%,"-5,385,492","-4,894,504","-490,988",-10.00%
TOTAL UNINCORPORATED FRANCHISE TAXES,"1,362,384","1,927,256","-564,872",-29.30%,"38,227,116","38,131,147","95,969",0.30%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"2,194,546","2,941,868","-747,322",-25.40%,"14,372,218","12,135,389","2,236,829",18.40%
Healthy DC Fund,"845,814","732,267","113,547",15.50%,"958,527","746,642","211,885",28.40%
Housing Production Trust Fund,"5,284,798",-189,"5,284,987",2803706.40%,"25,186,702","23,294,676","1,892,026",8.10%
