"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
TOTAL SALES TAXES (net),"82,935,133","88,192,434","-5,257,301",-6.00%,"1,155,726,684","1,101,174,487","54,552,197",5.00%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"295,712,107","287,422,470","8,289,636",2.90%,"2,383,384,964","2,339,238,651","44,146,313",1.90%
Individual Income,"201,620,906","198,723,978","2,896,928",1.50%,"1,869,579,282","1,873,083,560","-3,504,278",-0.20%
Corporate Franchise,"67,315,235","61,338,371","5,976,863",9.70%,"355,727,125","317,014,680","38,712,445",12.20%
U.B. Franchise,"26,775,966","26,476,044","299,922",1.10%,"158,078,557","148,256,335","9,822,223",6.60%
TOTAL INCOME AND FRANCHISE TAXES (net),"295,712,107","286,538,393","9,173,713",3.20%,"2,383,384,964","2,338,354,574","45,030,390",1.90%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"22,067,960","19,562,082","2,505,877",12.80%,"362,651,642","359,627,069","3,024,574",0.80%
Hospital Bed Tax (gross),0,0,0,0.00%,0,"159,930","-159,930",-100.00%
Transfer to Hospital Fund,0,0,0,0.00%,0,0,0,0.00%
Hospital Bed Tax (net),0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (gross),0,"-3,723,210","3,723,210",-100.00%,0,0,0,0.00%
ICF-MR Assesment (net),0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"5,317,447","-12,429,098","17,746,545",-142.80%,"10,293,522","-38,868","10,332,391",-26583.00%
Transfer to Nursing facility Quality of Care Fund,"5,317,447","-12,429,098","17,746,545",-142.80%,"10,293,522","-38,868","10,332,391",-26583.00%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"12,143,506","10,703,773","1,439,733",13.50%,"136,037,256","145,872,656","-9,835,400",-6.70%
Transfer to Ballpark Fund,"738,737","775,525","-36,787",-4.70%,"8,144,870","8,653,631","-508,761",-5.90%
Public Utilities (net),"11,404,768","9,928,248","1,476,520",14.90%,"127,892,386","137,219,025","-9,326,640",-6.80%
Ballpark Fee - Gross Receipts (gross),"494,488","1,000,453","-505,965",-50.60%,"32,361,230","35,094,355","-2,733,126",-7.80%
Transfer to Ballpark Fund,"494,488","1,000,453","-505,965",-50.60%,"32,361,230","35,094,355","-2,733,126",-7.80%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"-52,652","-44,318,371","44,265,719",-99.90%,"106,872,567","61,618,580","45,253,987",73.40%
Transfer to Healthy DC Fund,0,0,0,0.00%,"1,969,718","1,900,073","69,645",3.70%
Insurance Premiums (net),"-52,652","-44,318,371","44,265,719",-99.90%,"104,902,849","59,718,507","45,184,342",75.70%
Toll Telecommunications  (gross),"4,116,202","5,637,199","-1,520,998",-27.00%,"54,208,621","54,229,080","-20,459",0.00%
Transfer to Ballpark Fund,"223,939","186,410","37,529",20.10%,"2,675,357","2,470,029","205,328",8.30%
Toll Telecommunications  (net),"3,892,262","5,450,789","-1,558,527",-28.60%,"51,533,264","51,759,051","-225,787",-0.40%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"46,478,489","45,397,550","1,080,939",2.40%,"497,867,997","528,865,796","-30,997,799",-5.90%
Estate,"2,503,540","2,808,151","-304,611",-10.80%,"53,673,201","48,273,641","5,399,560",11.20%
Deed Recordation  (gross),"20,005,371","25,628,063","-5,622,692",-21.90%,"250,028,290","257,865,239","-7,836,949",-3.00%
Transfer to HPTF,"3,821,242","2,667,113","1,154,129",43.30%,"38,349,922","37,505,732","844,189",2.30%
Deed Recordation  (net),"16,184,129","22,960,950","-6,776,821",-29.50%,"211,678,369","220,359,507","-8,681,138",-3.90%
Deed Transfer  (gross),"17,198,535","16,475,427","723,108",4.40%,"174,640,410","198,314,992","-23,674,582",-11.90%
Transfer to HPTF,"2,158,737","2,009,191","149,545",7.40%,"26,087,595","29,245,550","-3,157,955",-10.80%
Deed Transfer  (net),"15,039,799","14,466,236","573,563",4.00%,"148,552,815","169,069,442","-20,516,627",-12.10%
Economic Interest (gross),"6,771,044","485,909","6,285,134",1293.50%,"19,526,094","24,411,923","-4,885,828",-20.00%
Coop Recordation (net),"441,678","421,866","19,812",4.70%,"6,130,770","5,813,289","317,480",5.50%
Economic Interest (net),"6,329,366","64,043","6,265,323",9782.90%,"13,319,710","18,598,633","-5,278,923",-28.40%
TOTAL OTHER TAXES (net),"40,498,511","40,721,246","-222,735",-0.50%,"433,354,865","462,114,513","-28,759,649",-6.20%
TOTAL TAX COLLECTIONS (gross),"1,461,679,111","1,436,736,944","24,942,167",1.70%,"7,081,310,587","6,974,132,265","107,178,322",1.50%
TOTAL TAX COLLECTIONS (net),"1,408,739,624","1,340,283,806","68,455,818",5.10%,"6,641,651,233","6,502,706,832","138,944,401",2.10%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"4,488,828","3,998,301","490,527",12.30%,"54,959,563","54,827,230","132,333",0.20%
Nonbusiness Licenses & Permits,"2,564,246","3,171,571","-607,325",-19.10%,"33,634,998","33,955,373","-320,376",-0.90%
TOTAL LICENSES AND PERMITS,"7,053,074","7,169,872","-116,798",-1.60%,"88,594,560","88,782,603","-188,043",-0.20%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"5,420,311","5,316,725","103,585",1.90%,"69,217,545","67,009,201","2,208,344",3.30%
Rentals,"882,068","1,382,450","-500,382",-36.20%,"12,997,095","14,703,788","-1,706,693",-11.60%
Parking Meters,0,0,0,0.00%,0,0,0,0.00%
Tuitions,0,0,0,0.00%,3,0,3,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"6,302,379","6,699,175","-396,796",-5.90%,"82,214,643","81,712,989","501,654",0.60%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,"14,854",0,"14,854",0.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,"14,854",0,"14,854",0.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"2,449,395","8,906,281","-6,456,886",-72.50%,"96,251,047","56,247,389","40,003,658",71.10%
Other Fines & Forfeitures,"199,885","413,363","-213,477",-51.60%,"8,498,892","6,295,177","2,203,715",35.00%
Traffic Fines,"735,954","9,080,930","-8,344,976",-91.90%,"63,820,984","70,574,850","-6,753,866",-9.60%
TOTAL FINES AND FORFEITURES,"3,385,235","18,400,573","-15,015,339",-81.60%,"168,570,922","133,117,416","35,453,506",26.60%
MISCELLANEOUS REVENUE,,,,,,,,
Interest Income,"509,699","-273,920","783,619",-286.10%,"4,236,806","-497,765","4,734,572",-951.20%
Unclaimed Property,"1,166,640","-46,084","1,212,723",-2631.60%,"30,756,613","38,048,787","-7,292,174",-19.20%
Other Revenue,"-3,548,080","83,791,222","-87,339,302",-104.20%,"11,519,953","120,790,800","-109,270,847",-90.50%
Private Grants,0,0,0,0.00%,0,0,0,0.00%
TOTAL MISCELLANEOUS REVENUE,"-1,871,741","94,267,218","-96,138,959",-102.00%,"62,157,531","188,701,401","-126,543,870",-67.10%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,0.00%,"1,434,076","15,332,849","-13,898,774",-90.60%
Legalized Gambling,0,"3,000,000","-3,000,000",-100.00%,"49,316,862","54,285,904","-4,969,042",-9.20%
Special Purpose O-Type Revenue,"76,388,399","109,239,115","-32,850,716",-30.10%,"540,634,577","548,383,791","-7,749,214",-1.40%
TOTAL TRANSFER FROM OTHER FUNDS,"76,388,399","112,239,115","-35,850,716",-31.90%,"591,385,515","618,002,544","-26,617,030",-4.30%
TOTAL NON-TAX REVENUES,"91,257,346","238,775,954","-147,518,608",-61.80%,"992,938,026","1,110,316,954","-117,378,928",-10.60%
TOTAL GENERAL FUND (GROSS),"1,552,936,457","1,675,512,898","-122,576,441",-7.30%,"8,074,248,613","8,084,449,218","-10,200,606",-0.10%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"6,307,682","5,708,400","599,282",10.50%,"72,920,017","65,901,514","7,018,503",10.60%
Plastic Bag fee,"-4,500,000","-131,733","-4,368,267",-3316.00%,"-2,583,826","1,736,275","-4,320,102",-248.80%
TOTAL,"1,807,682","5,576,667","-3,768,985",-67.60%,"70,336,191","67,637,789","2,698,401",4.00%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,"1,194,211","74,758","1,119,453",1497.40%,"2,091,275","1,396,197","695,079",49.80%
Real Property Tax Refunds,"7,523,933","1,768,268","5,755,665",325.50%,"51,889,343","53,110,011","-1,220,669",-2.30%
Sales & Use Tax Refunds,"211,548","124,810","86,738",69.50%,"2,051,511","2,213,340","-161,829",-7.30%
TOTAL REFUNDS,"8,929,692","1,967,836","6,961,856",353.80%,"56,032,129","56,719,548","-687,419",-1.20%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"8,896,576","10,652,151","-1,755,575",-16.50%,"38,563,470","38,523,782","39,688",0.10%
Payments,"61,811,772","57,952,177","3,859,595",6.70%,"365,326,171","347,899,869","17,426,301",5.00%
Refunds,"3,393,113","6,812,446","-3,419,333",-50.20%,"47,800,151","68,879,896","-21,079,745",-30.60%
TOTAL CORPORATION FRANCHISE TAXES,"67,315,235","61,791,882","5,523,353",8.90%,"356,089,489","317,543,756","38,545,734",12.10%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"69,899,144","80,332,163","-10,433,020",-13.00%,"320,115,438","322,304,400","-2,188,962",-0.70%
Fiducary,"1,292,045","1,303,416","-11,371",-0.90%,"24,293,751","20,138,178","-4,155,574",-20.60%
Payments,"10,469,745","7,001,931","3,467,814",49.50%,"274,757,282","262,928,094","11,829,188",4.50%
Refunds,"5,425,281","10,325,155","-4,899,875",-47.50%,"366,903,986","311,695,446","55,208,540",17.70%
Withholding,"125,702,361","120,842,190","4,860,171",4.00%,"1,618,735,985","1,579,838,900","38,897,085",2.50%
TOTAL INDIVIDUAL INCOME TAXES,"201,938,013","199,154,544","2,783,469",1.40%,"1,870,998,470","1,873,514,126","-2,515,656",-0.10%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"8,969,716","5,441,300","3,528,416",64.80%,"33,126,831","28,478,990","4,647,841",16.30%
Payments,"18,276,423","21,726,069","-3,449,645",-15.90%,"137,907,517","136,536,104","1,371,413",1.00%
Refunds,"470,173","691,324","-221,151",-32.00%,"12,955,790","16,758,759","-3,802,969",-22.70%
TOTAL UNINCORPORATED FRANCHISE TAXES,"26,775,966","26,476,044","299,922",1.10%,"158,078,557","148,256,335","9,822,223",6.60%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"4,555,179","4,871,293","-316,114",-6.50%,"63,404,385","65,966,955","-2,562,570",-3.90%
Healthy DC Fund,0,0,0,0.00%,"1,969,718","1,900,073","69,645",3.70%
Housing Production Trust Fund,"5,979,978","4,676,304","1,303,674",27.90%,"64,437,517","66,751,283","-2,313,766",-3.50%
