"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
Rentals,"1,288,384","652,475","635,910",97.50%,"6,603,418","6,425,949","177,469",2.80%
Tuitions,0,0,0,0.00%,0,0,0,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"9,741,239","10,887,480","-1,146,240",-10.50%,"44,032,858","42,716,511","1,316,347",3.10%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,0,"14,854","-14,854",-100.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,0,"14,854","-14,854",-100.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"9,793,147","8,467,133","1,326,014",15.70%,"50,186,132","48,719,282","1,466,850",3.00%
Other Fines & Forfeitures,"963,371","920,615","42,756",4.60%,"4,540,459","4,631,051","-90,592",-2.00%
Traffic Fines,"4,793,914","5,676,617","-882,703",-15.50%,"30,166,532","34,381,713","-4,215,181",-12.30%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),0,"3,911,040","-3,911,040",-100.00%,"7,978,521","7,822,079","156,442",2.00%
Interest Income,"3,261,848","128,087","3,133,761",2446.60%,"4,444,864","1,358,183","3,086,680",227.30%
Unclaimed Property,"506,293","-53,423","559,716",-1047.70%,"32,909,273","28,602,427","4,306,846",15.10%
Other Revenue,"-12,103,688","942,635","-13,046,323",-1384.00%,"14,291,188","5,458,941","8,832,246",161.80%
TOTAL MISCELLANEOUS REVENUE,"-8,335,547","4,928,339","-13,263,886",-269.10%,"59,623,845","43,241,631","16,382,215",37.90%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,0.00%,"1,090,780","1,434,076","-343,296",-23.90%
Legalized Gambling,"1,800,000","4,200,000","-2,400,000",-57.10%,"20,600,000","29,216,862","-8,616,862",-29.50%
Special Purpose O-Type Revenue,"78,065,910","51,547,919","26,517,991",51.40%,"296,060,405","249,670,497","46,389,908",18.60%
TOTAL TRANSFER FROM OTHER FUNDS,"79,865,910","55,747,919","24,117,991",43.30%,"317,751,185","280,321,434","37,429,751",13.40%
TOTAL NON-TAX REVENUES,"101,967,750","97,074,523","4,893,227",5.00%,"543,258,140","496,869,578","46,388,562",9.30%
TOTAL GENERAL FUND (GROSS),"1,373,857,794","1,187,197,631","186,660,164",15.70%,"3,711,029,752","3,381,492,532","329,537,219",9.70%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"5,694,463","5,657,198","37,265",0.70%,"36,793,864","36,068,632","725,232",2.00%
Plastic Bag fee,"203,732","177,037","26,695",15.10%,"1,024,366","969,742","54,624",5.60%
TOTAL,"5,898,195","5,834,235","63,960",1.10%,"37,818,230","37,038,374","779,856",2.10%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,"25,343","31,948","-6,605",-20.70%,"82,972","777,851","-694,879",-89.30%
Real Property Tax Refunds,"3,557,306","2,542,897","1,014,409",39.90%,"18,196,590","18,946,866","-750,276",-4.00%
Sales & Use Tax Refunds,"107,138","54,578","52,560",96.30%,"1,161,342","686,407","474,936",69.20%
TOTAL REFUNDS,"3,689,787","2,629,422","1,060,364",40.30%,"19,440,903","20,411,123","-970,219",-4.80%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"5,257,278","2,513,454","2,743,824",109.20%,"65,828,593","15,439,145","50,389,447",326.40%
Payments,"47,545,107","86,674,309","-39,129,202",-45.10%,"125,649,533","193,510,512","-67,860,980",-35.10%
Refunds,"6,440,016","1,857,524","4,582,492",246.70%,"16,904,647","19,993,179","-3,088,532",-15.40%
TOTAL CORPORATION FRANCHISE TAXES,"46,362,369","87,330,239","-40,967,870",-46.90%,"174,573,479","188,956,479","-14,383,000",-7.60%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"2,563,298","1,819,470","743,828",40.90%,"136,669,067","140,444,774","-3,775,707",-2.70%
Fiducary,"254,734","399,061","-144,327",-36.20%,"1,873,086","2,270,025","-396,939",-17.50%
Payments,"13,102,120","19,693,450","-6,591,329",-33.50%,"43,811,419","60,064,636","-16,253,217",-27.10%
Refunds,"84,600,589","86,371,792","-1,771,204",-2.10%,"220,905,282","193,687,409","27,217,873",14.10%
Withholding,"152,869,186","143,627,117","9,242,070",6.40%,"878,149,548","827,802,615","50,346,932",6.10%
TOTAL INDIVIDUAL INCOME TAXES,"84,188,750","79,167,305","5,021,445",6.30%,"839,597,838","836,894,641","2,703,197",0.30%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"1,889,706","553,540","1,336,166",241.40%,"30,153,183","11,608,934","18,544,250",159.70%
Payments,"16,705,189","9,657,259","7,047,929",73.00%,"32,066,901","41,627,516","-9,560,616",-23.00%
Refunds,"1,278,886","1,822,350","-543,463",-29.80%,"6,664,378","6,716,854","-52,476",-0.80%
TOTAL UNINCORPORATED FRANCHISE TAXES,"17,316,008","8,388,450","8,927,559",106.40%,"55,555,706","46,519,596","9,036,110",19.40%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"1,923,101","2,495,927","-572,827",-23.00%,"16,295,318","14,631,316","1,664,003",11.40%
Healthy DC Fund,"1,113,832","1,176,836","-63,004",-5.40%,"2,072,359","1,923,478","148,881",7.70%
Housing Production Trust Fund,618,"5,618,232","-5,617,615",-100.00%,"25,187,319","28,912,908","-3,725,589",-12.90%
