"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
Transfer to HPTF,"7,125,488","3,368,523","3,756,965",111.50%,"13,173,387","14,414,019","-1,240,632",-8.60%
Deed Recordation  (net),"1,320,653","14,407,205","-13,086,551",-90.80%,"57,450,959","81,638,970","-24,188,012",-29.60%
Deed Transfer  (gross),"6,440,344","15,995,818","-9,555,473",-59.70%,"57,441,433","75,935,589","-18,494,157",-24.40%
Transfer to HPTF,"5,860,993","2,252,208","3,608,785",160.20%,"10,121,477","10,960,581","-839,104",-7.70%
Deed Transfer  (net),"579,351","13,743,610","-13,164,259",-95.80%,"47,319,955","64,975,008","-17,655,053",-27.20%
Economic Interest (gross),"212,518","575,488","-362,970",-63.10%,"2,517,398","11,659,049","-9,141,651",-78.40%
Coop Recordation (net),"212,518","399,855","-187,337",-46.90%,"1,809,112","1,865,641","-56,529",-3.00%
Economic Interest (net),0,"175,633","-175,633",-100.00%,"708,285","9,793,408","-9,085,123",-92.80%
TOTAL OTHER TAXES (net),"3,879,167","28,375,808","-24,496,641",-86.30%,"122,705,346","167,580,562","-44,875,216",-26.80%
TOTAL TAX COLLECTIONS (gross),"431,055,703","428,523,122","2,532,581",0.60%,"1,525,433,219","1,597,627,222","-72,194,003",-4.50%
TOTAL TAX COLLECTIONS (net),"403,741,128","401,357,248","2,383,881",0.60%,"1,421,940,140","1,487,591,408","-65,651,268",-4.40%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"4,308,969","3,258,716","1,050,253",32.20%,"16,292,104","12,327,238","3,964,866",32.20%
Nonbusiness Licenses & Permits,"2,437,682","2,701,047","-263,365",-9.80%,"10,152,156","10,372,688","-220,532",-2.10%
TOTAL LICENSES AND PERMITS,"6,746,651","5,959,763","786,888",13.20%,"26,444,260","22,699,926","3,744,334",16.50%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"5,289,863","3,475,320","1,814,543",52.20%,"20,305,344","17,489,556","2,815,788",16.10%
Rentals,"644,932","1,112,834","-467,902",-42.00%,"3,734,893","4,537,430","-802,537",-17.70%
Parking Meters,0,875,-875,-100.00%,0,875,-875,-100.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"5,934,795","4,589,029","1,345,766",29.30%,"24,040,237","22,027,861","2,012,376",9.10%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,"14,703",0,"14,703",0.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,"14,703",0,"14,703",0.00%
Automated Enforcement,"6,253,639","3,087,571","3,166,067",102.50%,"30,544,050","13,853,560","16,690,490",120.50%
Other Fines & Forfeitures,"523,687","379,480","144,207",38.00%,"2,996,123","1,743,386","1,252,737",71.90%
Traffic Fines,"3,401,842","5,162,123","-1,760,281",-34.10%,"22,102,617","20,755,747","1,346,869",6.50%
TOTAL FINES AND FORFEITURES,"10,179,168","8,629,175","1,549,993",18.00%,"55,642,790","36,352,693","19,290,096",53.10%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),0,0,0,0.00%,"3,911,040","2,113,018","1,798,022",85.10%
Interest Income,"108,014","439,499","-331,485",-75.40%,"855,324","462,975","392,349",84.70%
Unclaimed Property,"823,018","1,636,338","-813,320",-49.70%,"27,752,098","31,835,973","-4,083,876",-12.80%
Other Revenue,"1,093,797","1,198,666","-104,870",-8.70%,"3,610,603","7,223,745","-3,613,142",-50.00%
Private Grants,0,0,0,0.00%,0,0,0,0.00%
TOTAL MISCELLANEOUS REVENUE,"2,024,829","3,274,503","-1,249,674",-38.20%,"36,129,065","41,635,711","-5,506,646",-13.20%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,0.00%,"1,434,076",0,"1,434,076",0.00%
Legalized Gambling,"7,000,000","18,008,792","-11,008,792",-61.10%,"20,430,000","18,008,792","2,421,208",13.40%
Special Purpose O-Type Revenue,"20,754,604","37,963,852","-17,209,249",-45.30%,"143,295,406","152,509,829","-9,214,423",-6.00%
TOTAL TRANSFER FROM OTHER FUNDS,"27,754,604","55,972,644","-28,218,040",-50.40%,"165,159,482","170,518,621","-5,359,140",-3.10%
TOTAL NON-TAX REVENUES,"52,640,047","78,425,114","-25,785,067",-32.90%,"307,430,536","293,234,813","14,195,723",4.80%
TOTAL GENERAL FUND (GROSS),"483,695,750","506,948,235","-23,252,486",-4.60%,"1,832,863,755","1,890,862,035","-57,998,280",-3.10%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"5,609,942","10,246,147","-4,636,205",-45.20%,"25,323,588","22,612,153","2,711,435",12.00%
Plastic Bag fee,"179,597","171,097","8,500",5.00%,"569,308","545,081","24,227",4.40%
TOTAL,"5,789,539","10,417,244","-4,627,705",-44.40%,"25,892,896","23,157,234","2,735,662",11.80%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,"229,133","49,059","180,073",367.10%,"633,320","79,281","554,039",698.80%
Real Property Tax Refunds,"3,825,461","6,406,914","2,581,452",40.30%,"12,887,473","18,100,956","5,213,482",28.80%
Sales & Use Tax Refunds,"14,197","412,101","426,298",103.40%,"409,410","987,211","577,801",58.50%
TOTAL REFUNDS,"4,040,397","6,868,074","2,827,678",41.20%,"13,930,203","19,167,448","5,237,244",27.30%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"2,916,136","2,373,159","542,977",22.90%,"12,258,934","11,603,915","655,020",5.60%
Payments,"9,017,393","13,756,666","-4,739,274",-34.50%,"96,619,045","85,094,808","11,524,237",13.50%
Refunds,"2,930,400","5,063,582","2,133,182",42.10%,"18,301,437","23,945,401","5,643,964",23.60%
TOTAL CORPORATION FRANCHISE TAXES,"9,003,129","11,066,243","2,063,115",18.60%,"90,576,542","72,753,322","17,823,220",24.50%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"88,024,700","88,316,077","-291,377",-0.30%,"135,490,107","125,817,676","9,672,431",7.70%
Fiducary,"1,050,265","747,928","302,336",40.40%,"1,797,525","1,521,112","276,413",18.20%
Payments,"9,998,484","8,953,716","1,044,769",11.70%,"34,620,647","29,051,003","5,569,644",19.20%
Refunds,"7,039,541","13,074,258","6,034,717",46.20%,"39,202,550","41,665,192","2,462,642",5.90%
Withholding,"173,671,150","161,950,163","11,720,986",7.20%,"546,169,921","525,287,110","20,882,811",4.00%
TOTAL INDIVIDUAL INCOME TAXES,"265,705,058","246,893,627","18,811,431",7.60%,"678,875,649","640,011,709","38,863,940",6.10%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"2,850,206","1,978,114","872,091",44.10%,"10,875,538","9,363,547","1,511,991",16.10%
Payments,"4,810,734","3,978,201","832,533",20.90%,"30,125,522","36,856,508","-6,730,985",-18.30%
Refunds,"732,831","453,949","278,882",61.40%,"4,797,169","3,182,829","1,614,341",50.70%
TOTAL UNINCORPORATED FRANCHISE TAXES,"6,928,109","5,502,366","1,425,742",25.90%,"36,203,890","43,037,225","6,833,335",15.90%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"617,014","2,367,250","-1,750,236",-73.90%,"9,193,521","9,685,244","-491,724",-5.10%
Healthy DC Fund,0,"37,500","-37,500",-100.00%,"14,375","37,500","-23,125",-61.70%
Housing Production Trust Fund,"12,986,481","5,620,731","7,365,750",131.00%,"23,294,865","25,374,601","-2,079,736",-8.20%
