"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
TOTAL GENERAL SALES AND USE TAXES (net),"107,373,335","87,658,130","19,715,204",22.50%,"623,838,917","583,637,544","40,201,373",6.90%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"514,072","516,929","-2,857",-0.60%,"3,822,264","3,525,227","297,037",8.40%
Cigarette,"2,718,372","3,531,248","-812,876",-23.00%,"16,548,676","16,100,610","448,065",2.80%
Motor Vehicle Fuel  (gross),0,787,-787,-100.00%,0,"-1,644","1,644",-100.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,787,-787,-100.00%,0,"-1,644","1,644",-100.00%
Motor Vehicle Excise Tax Gross Coll,"3,466,518","4,060,986","-594,468",-14.60%,"26,256,550","27,180,253","-923,703",-3.40%
TOTAL SELECTIVE SALES TAXES (net),"6,698,962","8,109,950","-1,410,988",-17.40%,"46,627,489","46,804,446","-176,957",-0.40%
TOTAL SALES TAXES (net),"114,072,297","95,768,080","18,304,217",19.10%,"670,466,407","630,441,990","40,024,417",6.30%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"345,754,518","369,618,745","-23,864,227",-6.50%,"1,417,803,578","1,397,281,926","20,521,652",1.50%
Individual Income,"260,735,311","291,399,171","-30,663,861",-10.50%,"1,097,471,488","1,115,212,013","-17,740,525",-1.60%
Corporate Franchise,"30,699,403","30,112,454","586,949",1.90%,"219,492,690","183,951,567","35,541,123",19.30%
U.B. Franchise,"54,319,804","48,107,119","6,212,685",12.90%,"100,839,401","98,118,347","2,721,053",2.80%
TOTAL INCOME AND FRANCHISE TAXES (net),"345,754,518","369,618,745","-23,864,227",-6.50%,"1,417,803,578","1,397,281,926","20,521,652",1.50%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"24,043,649","22,052,777","1,990,872",9.00%,"190,682,605","196,189,480","-5,506,876",-2.80%
Transfer to Hospital Fund,0,0,0,0.00%,0,0,0,0.00%
Hospital Bed Tax (net),0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (gross),0,"986,328","-986,328",-100.00%,0,"2,724,911","-2,724,911",-100.00%
Transfer to Steve Sellows,0,"986,328","-986,328",-100.00%,0,"2,724,911","-2,724,911",-100.00%
ICF-MR Assesment (net),0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"-2,193,724","578,423","-2,772,147",-479.30%,"4,418,365","8,056,534","-3,638,169",-45.20%
Transfer to Nursing facility Quality of Care Fund,"-2,193,724","578,423","-2,772,147",-479.30%,"4,418,365","8,056,534","-3,638,169",-45.20%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"12,762,261","15,233,152","-2,470,891",-16.20%,"78,679,456","87,801,141","-9,121,684",-10.40%
Transfer to Ballpark Fund,"780,995","803,444","-22,449",-2.80%,"4,651,235","4,913,346","-262,111",-5.30%
Public Utilities (net),"11,981,265","14,429,707","-2,448,442",-17.00%,"74,028,221","82,887,794","-8,859,573",-10.70%
Ballpark Fee - Gross Receipts (gross),"1,060,188","1,813,131","-752,943",-41.50%,"3,777,966","7,998,847","-4,220,881",-52.80%
Transfer to Ballpark Fund,"1,060,188","1,813,131","-752,943",-41.50%,"3,777,966","7,998,847","-4,220,881",-52.80%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"1,347,241","-1,284,238","2,631,479",-204.90%,"57,226,549","57,983,993","-757,444",-1.30%
Transfer to Healthy DC Fund,0,"118,845","-118,845",-100.00%,"1,923,478","1,892,573","30,905",1.60%
Insurance Premiums (net),"1,347,241","-1,403,083","2,750,324",-196.00%,"55,303,071","56,091,419","-788,349",-1.40%
Toll Telecommunications  (gross),"4,427,480","4,725,982","-298,502",-6.30%,"33,223,075","31,464,339","1,758,735",5.60%
Transfer to Ballpark Fund,"232,305","231,575",729,0.30%,"1,690,389","1,479,620","210,769",14.20%
Toll Telecommunications  (net),"4,195,175","4,494,406","-299,231",-6.70%,"31,532,686","29,984,719","1,547,966",5.20%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"42,907,239","27,332,063","15,575,177",57.00%,"271,077,752","306,826,626","-35,748,874",-11.70%
Estate,"255,804","7,317,340","-7,061,535",-96.50%,"34,962,060","25,915,920","9,046,140",34.90%
Deed Recordation  (gross),"27,338,096","10,796,853","16,541,243",153.20%,"131,526,945","150,211,472","-18,684,527",-12.40%
Transfer to HPTF,"3,006,686","4,080,397","-1,073,712",-26.30%,"19,474,811","23,582,349","-4,107,538",-17.40%
Deed Recordation  (net),"24,331,410","6,716,455","17,614,955",262.30%,"112,052,134","126,629,124","-14,576,989",-11.50%
Deed Transfer  (gross),"14,605,709","8,809,043","5,796,666",65.80%,"94,904,458","117,678,234","-22,773,776",-19.40%
Transfer to HPTF,"2,071,344","2,874,994","-803,650",-28.00%,"14,516,126","18,299,994","-3,783,868",-20.70%
Deed Transfer  (net),"12,534,366","5,934,050","6,600,316",111.20%,"80,388,332","99,378,240","-18,989,908",-19.10%
Economic Interest (gross),"707,630","408,827","298,803",73.10%,"9,684,289","13,021,000","-3,336,711",-25.60%
Coop Recordation (net),"707,630","408,827","298,803",73.10%,"3,122,362","2,864,866","257,496",9.00%
Economic Interest (net),0,0,0,0.00%,"6,486,312","10,156,134","-3,669,822",-36.10%
TOTAL OTHER TAXES (net),"37,829,210","20,376,672","17,452,539",85.60%,"237,011,200","264,944,283","-27,933,084",-10.50%
TOTAL TAX COLLECTIONS (gross),"981,700,088","1,018,012,111","-36,312,022",-3.60%,"3,866,323,043","3,852,630,140","13,692,903",0.40%
TOTAL TAX COLLECTIONS (net),"942,361,813","968,143,494","-25,781,682",-2.70%,"3,660,943,561","3,647,836,995","13,106,565",0.40%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"4,024,203","4,998,754","-974,551",-19.50%,"30,870,609","28,876,037","1,994,572",6.90%
Nonbusiness Licenses & Permits,"2,918,626","2,840,499","78,127",2.80%,"18,915,322","18,777,279","138,043",0.70%
TOTAL LICENSES AND PERMITS,"6,942,829","7,839,253","-896,423",-11.40%,"49,785,931","47,653,316","2,132,615",4.50%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"4,204,535","4,874,948","-670,413",-13.80%,"40,495,097","38,352,808","2,142,289",5.60%
Rentals,"1,209,936","1,251,469","-41,533",-3.30%,"7,635,886","7,941,587","-305,702",-3.80%
Parking Meters,0,0,0,0.00%,0,875,-875,-100.00%
Tuitions,3,0,3,0.00%,3,0,3,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"5,414,475","6,126,417","-711,942",-11.60%,"48,130,986","46,295,270","1,835,716",4.00%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,"14,854",0,"14,854",0.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"8,163,462","4,998,641","3,164,821",63.30%,"56,882,744","25,078,804","31,803,940",126.80%
Other Fines & Forfeitures,"761,422","957,729","-196,307",-20.50%,"5,392,473","3,742,127","1,650,346",44.10%
Traffic Fines,"5,118,326","7,631,706","-2,513,380",-32.90%,"39,500,040","39,045,958","454,082",1.20%
TOTAL FINES AND FORFEITURES,"14,043,210","13,588,076","455,135",3.30%,"101,775,257","67,866,889","33,908,368",50.00%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),0,0,0,0.00%,"7,822,079","2,270,705","5,551,374",244.50%
Interest Income,"117,607","79,054","38,553",48.80%,"1,475,791","486,975","988,816",203.10%
Unclaimed Property,"3,907,768","4,166,602","-258,834",-6.20%,"32,510,195","36,002,902","-3,492,707",-9.70%
Other Revenue,"1,446,789","970,442","476,348",49.10%,"6,905,731","31,932,290","-25,026,560",-78.40%
Private Grants,0,0,0,0.00%,0,0,0,0.00%
TOTAL MISCELLANEOUS REVENUE,"5,472,165","5,216,098","256,067",4.90%,"48,713,795","70,692,872","-21,979,076",-31.10%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,0.00%,"1,434,076","2,603,746","-1,169,671",-44.90%
Legalized Gambling,"4,000,000",0,"4,000,000",0.00%,"33,216,862","27,013,365","6,203,497",23.00%
Special Purpose O-Type Revenue,"54,748,903","52,656,407","2,092,496",4.00%,"304,419,400","278,911,663","25,507,737",9.10%
TOTAL TRANSFER FROM OTHER FUNDS,"58,748,903","52,656,407","6,092,496",11.60%,"339,070,337","308,528,774","30,541,563",9.90%
TOTAL NON-TAX REVENUES,"90,621,583","85,426,250","5,195,332",6.10%,"587,491,160","541,037,121","46,454,039",8.60%
TOTAL GENERAL FUND (GROSS),"1,072,321,671","1,103,438,361","-31,116,690",-2.80%,"4,453,814,203","4,393,667,261","60,146,942",1.40%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"6,219,362","4,811,541","1,407,821",29.30%,"42,287,994","31,423,846","10,864,148",34.60%
Plastic Bag fee,"180,856","176,968","3,888",2.20%,"1,150,598","1,111,270","39,328",3.50%
TOTAL,"6,400,218","4,988,509","1,411,709",28.30%,"43,438,592","32,535,116","10,903,476",33.50%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,"2,113","377,424","-375,311",-99.40%,"779,964","721,555","58,409",8.10%
Real Property Tax Refunds,"3,020,850","2,164,756","856,094",39.50%,"21,967,716","28,067,603","-6,099,888",-21.70%
Sales & Use Tax Refunds,"83,294","328,104","-244,810",-74.60%,"769,700","1,506,666","-736,965",-48.90%
TOTAL REFUNDS,"3,106,257","2,870,284","235,973",8.20%,"23,517,380","30,295,824","-6,778,444",-22.40%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"3,393,983","3,257,808","136,175",4.20%,"18,833,129","16,902,421","1,930,707",11.40%
Payments,"31,576,813","27,862,286","3,714,527",13.30%,"225,087,325","203,254,986","21,832,339",10.70%
Refunds,"4,256,649","1,007,639","3,249,010",322.40%,"24,249,828","36,130,275","-11,880,447",-32.90%
TOTAL CORPORATION FRANCHISE TAXES,"30,714,146","30,112,454","601,692",2.00%,"219,670,625","184,027,132","35,643,493",19.40%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"28,351,285","34,937,601","-6,586,316",-18.90%,"168,796,059","164,825,780","3,970,278",2.40%
Fiducary,"18,855,075","13,218,848","5,636,227",42.60%,"21,125,099","15,237,320","5,887,779",38.60%
Payments,"161,461,576","176,611,247","-15,149,671",-8.60%,"221,526,211","223,210,275","-1,684,064",-0.80%
Refunds,"94,140,078","76,428,825","17,711,253",23.20%,"287,827,486","247,726,452","40,101,034",16.20%
Withholding,"146,518,338","143,060,301","3,458,037",2.40%,"974,320,953","959,665,089","14,655,864",1.50%
TOTAL INDIVIDUAL INCOME TAXES,"261,046,195","291,399,171","-30,352,976",-10.40%,"1,097,940,836","1,115,212,013","-17,271,177",-1.50%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"4,332,704","3,668,716","663,987",18.10%,"15,941,637","13,980,606","1,961,031",14.00%
Payments,"50,573,722","45,033,942","5,539,780",12.30%,"92,201,238","88,715,014","3,486,224",3.90%
Refunds,"586,621","595,539","-8,918",-1.50%,"7,303,475","4,577,272","2,726,202",59.60%
TOTAL UNINCORPORATED FRANCHISE TAXES,"54,319,804","48,107,119","6,212,685",12.90%,"100,839,401","98,118,347","2,721,053",2.80%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"2,089,797","3,716,606","-1,626,809",-43.80%,"16,721,113","20,020,878","-3,299,766",-16.50%
Healthy DC Fund,0,"118,845","-118,845",-100.00%,"1,923,478","1,892,573","30,905",1.60%
Housing Production Trust Fund,"5,078,029","6,955,391","-1,877,362",-27.00%,"33,990,937","41,882,343","-7,891,405",-18.80%
