67,"Interest on state and local private-activitybonds issued to finance airport, dock andmass commuting facilities",Transportation,1968,"103, 141, 142, and 146","$1,291","$1,291","$1,291","$1,418"
""
""
""
""
""
""
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted","Internal RevenueCode Section",FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
Federal Exclusions (cont.),,,,,,,,
"",,,,,,,,
68,"Interest on state and local private-activitybonds issued to finance highway projectsand rail-truck transfer facilities",Transportation,2005,"103, 141, 142(m), and 146",$127,$127,$261,$261
69,G.I. Bill education benefits,Veterans' benefits,1917,38 USC 5301,$715,$775,$830,$876
70,Veterans' benefits and services,Veterans' benefits,1917,38 USC 5301,"$4,064","$3,979","$3,894","$4,275"
"",,,,,,,,
"",,,,,,,,
Federal Adjustments,,,,,,,,
"",,,,,,,,
71,Interest on student loans,Education,1997,221,"$2,019","$2,115","$2,211","$2,307"
72,Contributions to health savings accounts,Health,2003,223,$878,"$1,004","$1,171","$1,380"
73,"Health insurance premiums and long-termcare insurance premiums paid by the self-employed",Health,1986,162(l),"$2,926","$3,098","$2,754","$2,754"
74,"Contributions to self-employmentretirement plans",Income security,1962,"401-407, 410-418E, and457","$64,043","$70,372","$77,135","$84,606"
75,"Employee contributions to traditionalIndividual Retirement Accounts",Income security,1974,219 and 408,"$6,359","$6,404","$6,506","$6,823"
76,"Overnight travel expenses of NationalGuard and Reserve members",National defense,2003,62(a)(2)(E) and 162(p),$42,$42,$42,$42
"",,,,,,,,
"",,,,,,,,
Federal Deductions,,,,,,,,
"",,,,,,,,
77,"Accelerated depreciation of buildingsother than rental housing",Economic development,1954,167 and 168,$385,$385,$385,$385
78,Accelerated depreciation of equipment,Economic development,1954,167 and 168,"$7,453","$7,453","$7,453","$7,453"
79,"Small life insurance company taxableincome",Economic development,1984,806,too small,too small,too small,too small
80,Amortization of business start-up costs,Economic development,1980,195,too small,too small,$108,$211
81,Completed contract rules,Economic development,1986,460,"$1,076","$1,076","$1,184","$1,184"
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted","Internal RevenueCode Section",FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
Federal Deductions (contd.),,,,,,,,
"",,,,,,,,
82,"Exception from passive loss rules for$25,000 of rental real estate loss",Economic development,1986,469(i),"$5,713","$6,050","$6,386","$6,717"
83,"Expensing of depreciable small businessproperty",Economic development,1958,179,"$4,054","$2,198","$2,095","$1,674"
84,"Expensing of magazine circulationexpenditures",Economic development,1950,173,$94,too small,too small,too small
85,Gain on non-dealer installment sales,Economic development,1986,453 and 453A(b),"$7,082","$6,759","$6,599","$6,599"
86,Life insurance company reserves,Economic development,1984,"803(a)(2), 805(a)(2), and807","$3,159","$3,258","$3,258","$3,258"
87,"Loss from sale of small businesscorporation stock",Economic development,1958,1244,$51,$51,$51,$51
88,"Property and casualty insurance companyreserves",Economic development,1986,832(b),$395,$395,$395,$494
89,Research and development expenditures,Economic development,1954,174,"$5,227","$5,721","$6,017","$6,017"
90,"Amortization of certified pollution controlfacilities",Energy,2005,169(d)(5),$395,$296,$296,$296
91,"Depreciation recovery periods for specificenergy property",Energy,1986,168(e),$889,$790,$691,$691
92,Blue Cross and Blue Shield companies,Health,1986,833,$407,$407,$407,$508
93,Medical and dental care expenses,Health,1942,213,"$7,586","$7,791","$8,337","$9,363"
94,Accelerated depreciation of rental housing,Housing,1954,167 and 168,"$4,713","$4,607","$4,607","$4,500"
95,"Mortgage interest on owner-occupiedresidences",Housing,1913,163(h),"$62,047","$67,929","$74,053","$77,679"
96,"State and local property taxes on owner-occupied residences",Housing,1913,164,"$17,520","$18,631","$19,792","$20,852"
97,Casualty and theft losses,Income security,1913,"165(c)(3), 165(e), and165(h) - 165(k)",$303,$303,$303,$364
98,"Deduction of foreign taxes instead of acredit",International commerce,1913,901,$232,$232,$232,$232
99,Charitable contributions,Social policy,1917/1935,170 and 642(c),"$47,805","$49,283","$50,866","$52,555"
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted","Internal RevenueCode Section",FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
Federal Deductions (cont.),,,,,,,,
"",,,,,,,,
100,"Costs of removing architectural andtransportation barriers to the disabled andelderly",Social policy,1976,190,too small,too small,too small,too small
"",,,,,,,,
"",,,,,,,,
Federal Special Rules,,,,,,,,
"",,,,,,,,
101,"60-40 rule for gain or loss from section 1256contracts",Economic development,1981,1256,"$1,099","$1,099","$1,099","$1,099"
102,"Interest rate and discounting periodassumptions for reserves of property andcasualty insurance companies",Economic development,1986,"831, 832(b), and 846","$2,728","$2,728","$2,728","$2,728"
103,Inventory accounting,Economic development,1938,"475, 491-492","$2,082","$2,082","$2,082","$2,187"
104,"Special alternative tax on small propertyand casualty insurance companies",Economic development,1954,"321(a), 501(c)(15), 832,and 834",$108,$108,$108,$108
105,"Apportionment of research anddevelopment expenses for determiningforeign tax credits",International commerce,1977,861-863 and 904,$197,$197,$197,$197
106,"Interest-charge domestic internationalsales corporations",International commerce,1986,991-997,$592,$592,$691,$691
""
""
""
""
""
""
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted",D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
D.C. INCOME TAX,,,,,,,,
"(Local Business and Personal Income Tax)",,,,,,,,
"",,,,,,,,
D.C. Income Tax Exemptions,,,,,,,,
"",,,,,,,,
107,"Additional personal exemption for theblind",Income security,1987,§ 47-1806.02(d),$90,$90,$93,$96
108,"Additional personal exemption for theelderly",Income security,1987,§ 47-1806.02(e),"$5,139","$5,139","$5,283","$5,428"
109,"Investment funds exemption fromunincorporated business franchise tax",Income security,2014,§ 47-1808.01(6),"$4,620","$4,851","$5,094","$5,348"
"",,,,,,,,
D.C. Income Tax Subtractions,,,,,,,,
"",,,,,,,,
110,"Qualified high-technology companies:depreciable business assets",Economic development,2001,§ 47.1803.03(a)(18),no estimate,no estimate,no estimate,no estimate
111,College savings plan contributions,Education,2001,§ 47-4501 - § 47-4512,"$1,163","$1,163","$1,163","$1,163"
112,Public school teacher expenses,Education,2007,§ 47-1803.03(b-2),$122,$122,$122,$122
113,"Health insurance premiums paid for a same-sex spouse or domestic partner (businessincome tax)",Health,2006,§ 47-1803.02(a)(2)(W),$376,$397,$419,$442
114,"Health insurance premiums paid for a same-sex spouse or domestic partner (personalincome tax)",Health,1992,"§47-1803.03(a)(15) and §46-401(b)",$93,$97,$101,$105
115,Health professional loan repayments,Health,2006,§ 7-751.11,$76,$76,$76,$76
116,"Housing relocation assistance andassistance payments",Housing,2002,"§ 42-2851.05, § 42-3403.05, and 47-1803.02(a)(2)(R)",minimal,minimal,minimal,minimal
117,"D.C. and federal government survivorbenefits",Income security,1987,§ 47-1803.02(a)(2)(N),"$4,522","$4,717","$4,915","$5,128"
""
""
""
""
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted",D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
D.C. Income Tax Subtractions (cont.),,,,,,,,
"",,,,,,,,
118,"Disability payments for the permanentlyand totally disabled",Income security,1985,§ 47-1803.02(a)(2)(M),$95,$99,$103,$108
119,"Income of persons with a permanent andtotal disability",Income security,2005,§ 47-1803.02(a)(2)(V),$604,$630,$656,$684
120,"Social security benefits and railroadretirement",Income security,1985,§ 47-1803.02(a)(2)(L),"$27,819","$29,018","$30,239","$31,546"
121,Social Security benefits for retired workers,Income security,1985,§ 47-1803.02(a)(2)(L),"included in#120","included in#120","included in#120","included in#120"
122,"Social Security benefits for survivors anddependents",Income security,1985,§ 47-1803.02(a)(2)(L),"included in#120","included in#120","included in#120","included in#120"
123,Social Security benefits for the disabled,Income security,1985,§ 47-1803.02(a)(2)(L),"included in#120","included in#120","included in#120","included in#120"
124,Rental assistance to police officers,Public safety,1993,§ 42-2902,minimal,minimal,minimal,minimal
125,"Compensatory damages awarded in adiscrimination case",Social policy,2002,"§ 47-1803.02(a)(2)(U) and§ 47-1806.10",$34,$35,$37,$38
126,Poverty lawyer loan assistance,Social policy,2007,§ 47-1803.02(a)(2)(X),$44,$44,$44,$44
"",,,,,,,,
D.C. Income Tax Credits,,,,,,,,
"",,,,,,,,
127,"Qualified high-technology companies:business income tax exemption andreduction",Economic development,2001,§ 47-1817.06,"$16,891","$17,651","$18,446","$19,276"
128,"Qualified high-technology companies:employee relocation incentives",Economic development,2001,§ 47-1817.02,"included in#127","included in#127","included in#127","included in#127"
129,"Qualified high-technology companies:employment incentives",Economic development,2001,§ 47-1817.03,"included in#127","included in#127","included in#127","included in#127"
130,"Qualified high-technology companies:incentives to employ disadvantagedworkers",Economic development,2001,§ 47-1817.05,"included in#127","included in#127","included in#127","included in#127"
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted",D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
D.C. Income Tax Credits (cont.),,,,,,,,
"",,,,,,,,
131,"Qualified high-technology companies:incentives to retrain disadvantagedworkers",Economic development,2001,§ 47-1817.04,"included in#127","included in#127","included in#127","included in#127"
132,"First-time home purchase for D.C.government employees",Employment,2000,§ 42-2506,$180,$144,$108,$72
133,"Lower-income, long-term homeownership",Housing,2002,"§ 47-1806.09 - § 47-1806.09f",$4,$4,$4,$4
134,Property tax circuit-breaker,Housing,1977,§ 47-1806.06,"$15,477","$16,373","$17,320","$18,322"
135,Earned income tax credit,Income security,2000,§ 47-1806.04(f),"$65,096","$66,543","$67,751","$68,930"
136,Low-income credit,Income security,1987,§ 47-1806.04(e),"$1,880","$1,880","$1,880","$1,880"
137,"Farm to food donations (personal incometax)",Income security,2015,§ 47-1806.14,no estimate,no estimate,no estimate,no estimate
138,"Farm to food donations (business incometax)",Income security,2015,"§ 47-1807.12 and § 47-1808.12",no estimate,no estimate,no estimate,no estimate
139,"Alternative fuel vehicle conversion andinfrastructure credit (personal income tax)",Natural resources and environment,2015,"§ 47-1806.13  and § 47-1806.12",$661,$842,"$1,078","$1,078"
140,"Alternative fuel vehicle conversion andinfrastructure credit (business income tax)",Natural resources and environment,2015,"§ 47-1807.10 and § 47-1807.11",no estimate,no estimate,no estimate,no estimate
141,Child and dependent care,Social policy,1977,§ 47-1806.04(c),"$12,078","$12,078","$12,078","$12,078"
"",,,,,,,,
"",,,,,,,,
REA,PROPERTY TAX,,,,,,,
"",,,,,,,,
D.C. Real Property Tax Abatements,,,,,,,,
"",,,,,,,,
142,"New or improved buildings used by high-technology companies",Economic development,2001,§ 47-811.03,$37,$37,$0,$0
143,"Non-profit organizations locating indesignated neighborhoods",Economic development,2010,§ 47-857.11 - § 47-857.16,$153,$153,$153,$153
""
""
""
""
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,Enacted,D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
D.C. Real Property Tax Abatements (cont.),,,,,,,,
"",,,,,,,,
144,New residential developments,Housing,2002,§ 47-857.01 - § 47-857.10,"$1,540","$1,346","$1,134",$520
145,NoMA residential developments,Housing,2009,§ 47-859.01 - § 47-859.05,"$5,000","$5,000","$5,000","$5,000"
146,Urban farming and food security,Social Policy,2014,§ 47-868,$341,$289,$286,$284
"",,,,,,,,
"",,,,,,,,
D.C Real Property Tax Exemptions,,,,,,,,
"",,,,,,,,
147,"Development of a qualified supermarket,restaurant, or retail store",Economic development,1988,§ 47-1002(23),"$3,652","$3,805","$3,956","$4,104"
148,"High-technology commercial real estatedatabase and service providers",Economic development,2010,§ 47-4630,$700,$700,$700,$585
149,Educational institutions,Education,1942,§ 47-1002(10),"$124,128","$124,748","$125,372","$125,999"
150,Libraries,Education,1942,§ 47-1002(7),$425,$427,$429,$431
151,"Embassies, chanceries, and associatedproperties of foreign governments",General law,1942,§ 47-1002(3),"$49,298","$49,544","$49,792","$50,041"
152,Federal government property,General law,1942,§ 47-1002(1),"$876,621","$881,004","$885,409","$889,836"
153,District of Columbia government property,General law,1942,§ 47-1002(2),"$215,928","$221,758","$229,741","$237,323"
154,Miscellaneous exemptions,General law,multiple years,multiple code sections,"$122,654","$123,267","$123,884","$124,503"
155,Hospital buildings,Health,1942,§ 47-1002(9),"$15,216","$15,292","$15,368","$15,445"
156,Historic property,Housing,1974,§ 47-842 - § 47-844,$9,$9,$9,$10
157,Homestead exemption,Housing,1978,§ 47-850,"$58,443","$59,027","$59,617","$60,213"
158,"Lower-income homeownership householdsand cooperative housing associations",Housing,1983,§ 47-3503,"$9,761","$9,809","$9,858","$9,908"
159,"Multi-family and single-family rental andcooperative housing for low- and moderate",Housing,1978,§ 47-1002(20),"$1,085","$1,090","$1,095","$1,101"
160,Nonprofit housing associations,Housing,1983,§ 47-3505,"$10,845","$10,899","$10,954","$11,008"
161,Nonprofit affordable housing developers,Housing,2012,§ 47-1005.02,$400,$500,$550,$600
""
""
""
""
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,Enacted,D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
D.C. Real Property Tax Exemptions (cont.),,,,,,,,
"",,,,,,,,
162,Correctional Treatment Facility,Public safety,1997,§ 47-1002(25),"$3,523","$3,629","$3,738","$3,850"
163,Art galleries,Social policy,1942,§ 47-1002(6),"$2,423","$2,435","$2,447","$2,459"
164,Cemeteries,Social policy,1942,§ 47-1002(12),"$6,358","$6,389","$6,421","$6,453"
165,Charitable organizations,Social policy,1942,§ 47-1002(8),"$16,324","$16,406","$16,488","$16,570"
166,"Churches, synagogues, and mosques",Social policy,1942,§ 47-1002(13),"$67,350","$67,686","$68,025","$68,365"
167,"Washington Metropolitan Area TransitAuthority properties",Transportation,1966,§ 9-1107.01,"$9,732","$9,781","$9,830","$9,879"
"",,,,,,,,
"",,,,,,,,
D.C. Real Property Tax Credits,,,,,,,,
"",,,,,,,,
168,"First-time homebuyer credit for D.C.government employees",Employment,2000,§ 42-2506,$104,$61,$27,$14
169,Assessment increase cap,Housing,2001,§ 47-864,"$23,138","$23,832","$24,547","$25,284"
170,"Credit for senior citizens and persons withdisabilities",Housing,1986,§ 47-863,"$27,155","$27,290","$27,427","$27,564"
171,"Condominium and cooperative trashcollection",Natural resources and environment,1990,§ 47-872 and § 47-873,"$6,206","$6,361","$6,520","$6,683"
"",,,,,,,,
"",,,,,,,,
"D.C. Real Property Tax Deferrals, Rebates, and Multiple Categories",,,,,,,,
"",,,,,,,,
172,"Qualified high technology companies:interior renovation tax rebate",Economic development,2015,§ 47-4665,$0,"$3,000","$3,000","$3,000"
173,Public charter school tax rebate,Education,2005,§ 47-867,"$1,173","$1,205","$1,248","$1,289"
174,Low-income homeowners,Housing,2005,§ 47-845.02,$6,$6,$6,$6
175,"Low-income, senior-citizen homeowners",Housing,2005,§ 47-845.03,$109,$112,$116,$119
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,Enacted,D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
DEED RECORDATION AND TRANSFER TAX,,,,,,,,
"",,,,,,,,
Deed Recordation and Transfer Tax Exemptions,,,,,,,,
"",,,,,,,,
176,Educational institutions,Education,1962 and 1980,"§ 42-1102(3) and §47-902(3)","$1,424","$1,467","$1,511","$1,556"
177,Bona-fide gifts to the District of Columbia,General law,2011,§ 47-902(24),$0,$0,$0,$0
178,"Embassies, chanceries, and associatedproperties of foreign governments",General law,1962 and 1980,"§ 42-1102(3) and § 47-902(3)",$538,$554,$570,$588
179,Federal government and DC government,General law,1962 and 1980,"§ 42-1102(2) and § 47-902(2)","$2,376","$2,447","$2,520","$2,596"
180,"Other properties exempt from real propertytaxation",General law,1962 and 1980,"§ 42-1102(4) and § 47-902(3)","$1,389","$1,431","$1,474","$1,518"
181,"Special act of Congress (recordation taxonly)",General law,1962,§ 42-1102(4),$0,$0,$0,$0
182,Cooperative housing associations,Housing,1983,"§ 42-1102(14), § 47-3503(a)(2), § 47-3503(a)(3), § 47-902(11),and §47-3503(b)(2)",$527,$543,$559,$576
183,"Inclusionary zoning program (transfer taxonly)",Housing,2007,§ 47-902(23),$23,$23,$36,$36
184,Lower-income homeownership households,Housing,1983,"§ 42-1102(12), § 47-3503(a)(1), § 47-3503(a)(3), § 47-902(9),and §47-3503(b)(1)",$0,$0,$0,$0
185,Nonprofit housing associations,Housing,1983,"§ 42-1102(13), § 47-3503(c), § 47-902(10), and§47-3505(b)",$160,$161,$166,$169
186,Nonprofit affordable housing developers,Housing,2012,"§ 42-1102(32) and § 47-902(25)",$156,$159,$164,$167
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,Enacted,D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
Deed Recordation and Transfer Tax Exemptions (cont.),,,,,,,,
"",,,,,,,,
187,Resident management corporations,Housing,1992,"§ 42-1102(20), § 47-3506.01(b)(1), § 47-902(15), and §47-3506.01(b)(2)",$0,$0,$0,$0
188,"Deeds to property transferred to a namedbeneficiary of a revocable transfer ondeath",Housing,2015,"§ 42-1102(34) and §19-604",no estimate,no estimate,no estimate,no estimate
189,Exemption on security interest instrument,Housing,2015,"§ 42-1102(33) and    § 47-340.01",no estimate,no estimate,no estimate,no estimate
190,Charitable organizations,Social policy,1962 and 1980,"§ 42-1102(3) and § 47-902(3)",$401,$413,$425,$438
191,"Churches, synagogues, and mosques",Social policy,1962 and 1980,"§ 42-1102(3) and      § 47-902(3)",$0,$0,$0,$0
192,"Tax-exempt entities subject to a long-termlease",Tax administration and equity,2003,"§ 42-1102(27) and § 47-902(21)",$0,$0,$0,$0
"",,,,,,,,
"",,,,,,,,
D.C.,ALES TAX,,,,,,,
"",,,,,,,,
Sales Tax Exemptions,,,,,,,,
"",,,,,,,,
193,Energy products used in manufacturing,Economic development,1949,§ 47-2005(11),"$5,102","$5,316","$5,529","$5,734"
194,Internet access service,Economic development,1999,§ 47-2001(n)(2)(F),"$7,674","$7,997","$8,316","$8,624"
195,"Materials used in development of aqualified supermarket",Economic development,2000,§ 47-2005(28),$992,"$1,034","$1,075","$1,115"
196,Professional and personal services,Economic development,1949,§ 47-2001(n)(2)(B),"$304,379","$317,163","$329,850","$342,054"
197,"Qualified high-technology companies:certain sales and technology sales",Economic development,2001,"§ 47-2001(n)(2)(G) and §47-2005(31)","$3,399","$3,535","$3,676","$3,823"
198,"Transportation and communicationservices",Economic development,1949,§ 47-2001(n)(2)(A),"$54,618","$56,912","$59,188","$61,378"
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,Enacted,D.C Code Section,FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
"",,,,,,,,
Sales Tax Exemptions (cont.),,,,,,,,
"",,,,,,,,
199,Federal and D.C. governments,General law,1949,§ 47-2005(1),"$225,696","$235,175","$244,582","$253,631"
200,"Medicines, pharmaceuticals, and medicaldevices",Health,1949,§ 47-2005(14) and (15),"$18,945","$19,741","$20,531","$21,290"
201,Groceries,Social policy,1949,§ 47-2001(n)(2)(E),"$68,457","$71,332","$74,185","$76,930"
